property_id;reference;status;type;localisation;prix;prix_type;surface_m2;agence;telephone;description;url;image_url;date_scraping
116957;452311;VENTE;Appartement;EL MANAR 1;;Prix sur demande;119;CENTURY 21 Patrimoine;+216 25 333 290;L’agence immobilière Century 21 Patrimoine vous propose à la vente un appartement en H+3 situé à El Manar 1. Type de bien : usage mixte (bureautique et habitation) Le bien se compose...;https://century21.tn/property/a-vendre-un-appartement-en-h3-a-el-manar-1/;https://logis.fra1.digitaloceanspaces.com/11/Properties/147164/conversions/SAtceqa5bjiN6mve-thumb.jpg?c=1;14/02/2026 15:31
116721;364853;VENTE;Appartement;RIADH LANDLOUS;;Prix sur demande;136;CENTURY 21 Karaouli;+216 54 707 471;L’agence immobilière Century 21 Karaouli vous propose à la vente un appartement S+3, idéalement situé à Riadh El Andalous L’appartement se compose de : – Un salon avec balcon – Trois chambres...;https://century21.tn/property/a-vendre-appartement-s3-riadh-landlous-3/;https://logis.fra1.digitaloceanspaces.com/15/Properties/146665/conversions/tbhRyVVTmmXXD8pT-thumb.jpg?c=1;14/02/2026 15:31
113747;208188-3;LOCATION MEUBLÉ;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;80;CENTURY 21 Invest;+216 50 950 000;L’agence Century 21 Invest vous propose pour la location un appartement S+1 richement meublé aux jardins de Carthage . Il se compose de : – Un salon qui s’ouvre sur une terrasse....;https://century21.tn/property/a-louer-appartement-s1-meuble-jardins-de-carthage-7/;https://logis.fra1.digitaloceanspaces.com/4/Properties/90020/conversions/qe9VCzQl4kepqZxy-thumb.jpg?c=1;14/02/2026 15:31
110534;753796-2;LOCATION MEUBLÉ;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;220;CENTURY 21 Invest;+216 50 950 000;L’agence immobilière Century 21 Invest vous propose pour la location un appartement S+3 richement meublé aux Jardins de Carthage. Typologie : S+3 Superficie : 220 m² Il se compose comme suit :...;https://century21.tn/property/a-louer-appartement-s3-meuble-jardins-de-carthage-2/;https://logis.fra1.digitaloceanspaces.com/4/Properties/123607/conversions/LrUd8FPXHSymtU4U-thumb.jpg?c=1;14/02/2026 15:31
113629;769661-3;LOCATION MEUBLÉ;Duplex;GOLDEN TULIPE;;Prix sur demande;530;CENTURY 21 Invest;+216 50 950 000;L’agence Century21 Invest vous propose pour la location un duplex S+4 richement meublé avec une terrasse à Gammarth Touristique . Typologie: S+4 Superficie: 530m² *Au rez-de-chaussée : – Un grand salon qui...;https://century21.tn/property/a-louer-duplex-s4-meuble-a-gammarth-touristique/;https://logis.fra1.digitaloceanspaces.com/4/Properties/48058/conversions/Mv2kSKohVU8EwRUr-thumb.jpg?c=1;14/02/2026 15:31
115517;922357;LOCATION;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;180;CENTURY 21 Invest;+216 50 950 000;L’agence immobilière Century 21 Invest vous propose pour la location un appartement S+3 vide aux Jardins de Carthage . Typologie : S+3 Il se compose de : – Un salon/salle à manger...;https://century21.tn/property/a-louer-appartement-s3-jardins-de-carthage-13/;https://logis.fra1.digitaloceanspaces.com/4/Properties/145290/conversions/5ulAW3S2zBOUeUnN-thumb.jpg?c=1;14/02/2026 15:31
116927;744046;LOCATION;Appartement;LES BERGES DU LAC 2;;Prix sur demande;200;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose pour la location un appartement vide S+3 avec une chambre de service au LAC2 Emplacement: Les berges du Lac2 Etat: vide avec possibilité de location...;https://century21.tn/property/a-louer-appartement-s3-les-berges-du-lac-2-4/;https://logis.fra1.digitaloceanspaces.com/7/Properties/147073/conversions/QRVkxn2a2WnPPdYr-thumb.jpg?c=1;14/02/2026 15:31
116918;22525;LOCATION MEUBLÉ;Villa;GAMMARTH SUP;;Prix sur demande;250;CENTURY 21 Invest;+216 50 950 000;L’agence Century 21 Invest vous propose pour la location une Villa exceptionnelle avec une vue sur mer à Gammarth Supérieur. Superficie: 250m² Jardin : 890m² Elle se compose de : – Salon/salle...;https://century21.tn/property/a-louer-villa-s3-meuble-avec-vue-sur-mer-a-gammarth-superieur/;https://logis.fra1.digitaloceanspaces.com/4/Properties/147022/conversions/D4XoufutEt1vvp9X-thumb.jpg?c=1;14/02/2026 15:31
116908;652826;VENTE;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;170;CENTURY 21 Invest;+216 50 950 000;L’agence Century 21 Invest vous propose pour la vente un appartement S+3 avec Jardin aux Jardins de Carthage. Superficie: 170m² Jartin : 60m² Terrasse : 12m² Il se compose de : -Salon...;https://century21.tn/property/a-vendre-appartement-s3-avec-jard-aux-jardins-de-carthage/;https://logis.fra1.digitaloceanspaces.com/4/Properties/147043/conversions/WXsn6Ywbn7GFC5aA-thumb.jpg?c=1;14/02/2026 15:31
111014;150006-2;LOCATION;Villa;SIDI BOUSAID;;Prix sur demande;450;CENTURY 21 Invest;+216 50 950 000;L’agence immobilière Century 21 Invest vous propose pour la location une villa S+5 avec jardin à Sidi Bou Saïd. Typologie : S+5 Superficie : 450 m² La villa se compose de :...;https://century21.tn/property/a-louer-villa-s4-sidi-bousaid/;https://logis.fra1.digitaloceanspaces.com/4/Properties/74301/conversions/1V7l7KP6bkIXBUDV-thumb.jpg?c=1;14/02/2026 15:31
116900;544;LOCATION;Appartement;AIN ZAGHOUAN NORD;;Prix sur demande;90;CENTURY 21 Alliance;+216 29 221 222;l’agence immobilière century 21 Alliance vous propose à la location un appartement S+1 à Ain Zaghouan Nord, Tunis. Situé au 4ème étage d’une résidence neuve très haut standing. Composition: – un salon...;https://century21.tn/property/a-louer-appartement-s1-ain-zaghouan-nord/;https://logis.fra1.digitaloceanspaces.com/16/Properties/134212/conversions/hgXpTmpCm2Brmv08-thumb.jpg?c=1;14/02/2026 15:31
116142;18260;VENTE;Villa;RIADH LANDLOUS;;Prix sur demande;475;CENTURY 21 Alliance;+216 29 221 222;L’agence immobilière Century 21 Alliance vous propose à la vente une villa située à Riadh landalous d’une superficie de 475 m2. * Composition de la villa Rez-de-chaussée : – Salon ouvrant sur...;https://century21.tn/property/a-vendre-une-villa-situe-a-riadh-landalous/;https://logis.fra1.digitaloceanspaces.com/16/Properties/143783/conversions/Jd0GJRd5kWwhgzX5-thumb.jpg?c=1;14/02/2026 15:31
116896;829133;VENTE;Terrain Villa;LEBNA;;Prix sur demande;1786;CENTURY 21 Challenge;21626577000;L’agence Immobilière Century21 Challenge met à la vente un terrain d’une superficie de 1786m2 situé à Lebna du coté de la mer. ce terrain bénéficie d’un titre individuel avec une vocation d’habitation....;https://century21.tn/property/a-vendre-terrain-a-batir-a-cite-la-plage-lebna/;https://logis.fra1.digitaloceanspaces.com/10/Lands/138376/conversions/IkmAH2PqPAHUyaAT-thumb.jpg?c=1;14/02/2026 15:31
116885;973997;VENTE;Appartement;GAMMARTH VILLAGE;;Prix sur demande;400;CENTURY 21 Barros;+216 26 055 000;L’agence immobilière CENTURY 21 BARROS vous propose à la vente une magnifique villa en s5 à Gammarth *Rez-de-chaussée : -Salon avec accès à la piscine -salle à manger -Cuisine équipée -Suite -Salle...;https://century21.tn/property/a-vendre-appartement-s5-gammarth-village/;https://logis.fra1.digitaloceanspaces.com/6/Properties/146153/conversions/Dcrj3xsRSxVjus0N-thumb.jpg?c=1;14/02/2026 15:31
116868;539892;LOCATION;Bureau;AIN ZAGHOUAN NORD;;Prix sur demande;73;CENTURY 21 Prestige;+216 2009 2000;Century 21 Prestige vous propose à la location à Ain Zaghouan Nord un local commercial de 73 m² Ce local se compose de : Un point d’eau Une façade de 3 mètres...;https://century21.tn/property/un-local-commercial-a-louer-ain-zaghouan-nord/;https://logis.fra1.digitaloceanspaces.com/8/Properties/146988/conversions/lqnhvMDr82E2IqTm-thumb.jpg?c=1;14/02/2026 15:31
116830;543807-2;VENTE;Triplex;JARDINS DE CARTHAGE;;Prix sur demande;223;CENTURY 21 Invest;+216 50 950 000;L’agence immobilière Century 21 Invest vous propose pour la vente un triplex S+3 avec une piscine aux Jardins de Carthage Direct promoteur . Typologie : S+3 Superficie : 223 m² Jardin :...;https://century21.tn/property/a-vendre-triplex-s4-jardins-de-carthage/;https://logis.fra1.digitaloceanspaces.com/4/Properties/146943/conversions/KTBYqDFQbk1asHJw-thumb.jpg?c=1;14/02/2026 15:31
116419;211658-2;LOCATION;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;130;CENTURY 21 Invest;+216 50 950 000;L’agence immobilière Century 21 Invest vous propose pour la location un appartement S+2 aux Jardins de Carthage. Il se compose de: – Un grand salon qui s’ouvre sur une terrasse vu dégage....;https://century21.tn/property/a-louer-appartement-s2-jardins-de-carthage-4/;https://logis.fra1.digitaloceanspaces.com/4/Properties/81373/conversions/fzje6tGNbmzzV06n-thumb.jpg?c=1;14/02/2026 15:31
116811;63747;VENTE;Villa;DAR FADHAL;;Prix sur demande;160;CENTURY 21 Prestige;+216 2009 2000;L’agence immobilière Century 21 Prestige vous propose à la vente une Villa de 160 m² construite sur un terrain de 180 m² Située à Dar Fadhal ,La Soukra, dans un quartier résidentiel...;https://century21.tn/property/a-vendre-villa-a-dar-fadhal-la-soukra/;https://logis.fra1.digitaloceanspaces.com/8/Properties/146461/conversions/ItBVFBGPKMnTAlQj-thumb.jpg?c=1;14/02/2026 15:32
116795;582742-3;VENTE;Villa;LA SOUKRA;;Prix sur demande;293;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière CENTURY 21 INFINITY vous propose à la vente un triplex avec jardin à la Soukra, situé dans quartier résidentiel calme et sécurisé avec un jardin Ce triplex bénéficie d’une surface...;https://century21.tn/property/a-vendre-villa-s5-la-soukra-4/;https://logis.fra1.digitaloceanspaces.com/7/Properties/22785/conversions/oUWQFVT4blk98Wp0-thumb.jpg?c=1;14/02/2026 15:32
116535;485301;LOCATION;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;70;CENTURY 21 Invest;+216 50 950 000;L’agence Immobilière Century 21 Invest vous propose pour La location un appartement S+1 aux Jardins de Carthage. Typologie : S+1 Superficie :70m² Il se compose de : – Un salon lumineux avec...;https://century21.tn/property/a-louer-appartement-s1-jardins-de-carthage-3/;https://logis.fra1.digitaloceanspaces.com/4/Properties/146574/conversions/vHaChOnKwX6eh1rj-thumb.jpg?c=1;14/02/2026 15:32
116686;978499;VENTE;Appartement;GAMMARTH SUP;;Prix sur demande;120;CENTURY 21 Invest;+216 50 950 000;L’Agence Century 21 Invest vous propose pour la vente un appartement S+2 à Gammarth supérieur. Superficie: 120m² Jardin 20m Il se compose de : – Salon avec coin salle à manger donnant...;https://century21.tn/property/a-vendre-appartement-s2-gammarth-superieur/;https://logis.fra1.digitaloceanspaces.com/4/Properties/146613/conversions/FEtfBy5KpsdWHZyL-thumb.jpg?c=1;14/02/2026 15:32
116782;244405;LOCATION MEUBLÉ;Appartement;CITÉ EL WAFA AFH 2;;Prix sur demande;130;CENTURY 21 Challenge;21626577000;L’agence Century21 Challenge met à votre disposition un agréable appartement S+2 meublé, idéalement situé à AFH2, proposé à la location annuelle. Il se compose de : Un salon lumineux entièrement équipée, ouvrant...;https://century21.tn/property/a-louer-appartement-s2-meuble-cite-el-wafa-afh-2-5/;https://logis.fra1.digitaloceanspaces.com/10/Properties/146883/conversions/jbpM7q6l27ZPx0Mi-thumb.jpg?c=1;14/02/2026 15:32
116730;48957;LOCATION MEUBLÉ;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;75;CENTURY 21 Prestige;+216 2009 2000;Century 21 Prestige met à la location un appartement en S+1 meublé jamais habitée , aux jardins de Carthage, il se compose comme suit : -Un salon avec balcon -Une cuisine équipée...;https://century21.tn/property/a-louer-appartement-s1-meuble-jardins-de-carthage-6/;https://logis.fra1.digitaloceanspaces.com/8/Properties/146840/conversions/b85F6dePWpWLxLjS-thumb.jpg?c=1;14/02/2026 15:32
116760;870819-2;LOCATION;Appartement;SIDI DAOUD;;Prix sur demande;150;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la location un appartement S+4 à la Marsa *Emplacement: Sidi Daoud *Typologie: S+4 *Superficie: 215 m² *État: Meublé Il est composé de: -Un salon,...;https://century21.tn/property/a-louer-appartement-s4-sidi-daoud/;https://logis.fra1.digitaloceanspaces.com/7/Properties/31095/conversions/roNIQtXbitYAfZER-thumb.jpg?c=1;14/02/2026 15:32
116752;566665;VENTE;Appartement;CITE ENNOUZHA;;Prix sur demande;130;CENTURY 21 Horizon;+216 99483349;L’agence immobilière Century 21 Horizon vous propose à la vente un appartement S+3 situé au troisième étage sans ascenseur, à Ariana Centre. Composition: -Salon -Trois chambres a coucher -Cuisine -Salle de Bain...;https://century21.tn/property/a-vendre-appartement-s3-ariana-centre/;https://logis.fra1.digitaloceanspaces.com/13/Properties/146846/conversions/12BlTgHDBeM4yPfN-thumb.jpg?c=1;14/02/2026 15:32
116739;533652-2;VENTE;Appartement;AIN ZAGHOUAN NORD;;Prix sur demande;117;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la vente un appartement S+2 *Emplacement: Ain zaghouan nord *Typologie: S+2 *Superficie: 117 m² Il est composé de: -Un salon, une salle à manger...;https://century21.tn/property/a-vendre-appartement-s2-ain-zaghouan-nord-10/;https://logis.fra1.digitaloceanspaces.com/7/Properties/112056/conversions/Ke0qk4KTdO4d78UB-thumb.jpg?c=1;14/02/2026 15:32
116708;334694-2;LOCATION;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;170;CENTURY 21 Invest;+216 50 950 000;L’Agence Century 21 Invest vous propose pour la location un appartement S+3, situé dans une petite résidence aux Jardins de Carthage. Superficie : 170m² Il se compose de : -Salon qui donne...;https://century21.tn/property/a-louer-appartement-s3-jardins-de-carthage-2/;https://logis.fra1.digitaloceanspaces.com/4/Properties/90122/conversions/msO25bJsawyzyJzd-thumb.jpg?c=1;14/02/2026 15:32
116556;368537;LOCATION;Appartement;LES BERGES DU LAC 2;;Prix sur demande;220;CENTURY 21 Invest;+216 50 950 000;L’Agence Century 21 vous propose pour la location un bureau A+5 aux berges du lac 2. Superficie: 220m² Il se compose de : -Reception -Qutre bureaux -Salle de Reunion -Cuisine -Local Technique...;https://century21.tn/property/a-louer-bureau-a-6-aux-berges-du-lac-2/;https://logis.fra1.digitaloceanspaces.com/4/Properties/146312/conversions/ZwJ7c3cBnyMX8dS4-thumb.jpg?c=1;14/02/2026 15:32
106288;542446;DIRECT PROMOTEUR;Appartement;CITÉ EL WAFA AFH 2;;Prix sur demande;141;CENTURY 21 Challenge;21626577000;L’agence immobilière Century 21 Challenge vous propose à la vente un appartement S+3 en direct promoteur, situé dans une résidence haut standing à Cité El Wafa – AFH2 Nabeul. Cet appartement bien...;https://century21.tn/property/a-vendre-s3-direct-promoteur-afh2/;https://logis.fra1.digitaloceanspaces.com/10/Properties/132110/conversions/VhzBTkEzFENaWX7q-thumb.jpg?c=1;14/02/2026 15:32
115265;242906;DIRECT PROMOTEUR;Appartement;CITÉ EL WAFA AFH 2;;Prix sur demande;157;CENTURY 21 Challenge;21626577000;l’agence Century 21 vous propose pour la vente un S+3 – Direct promoteur dans un étage privé d’une résidence haut standing L’appartement se compose – Un salon avec accès à une terrasse...;https://century21.tn/property/a-vendre-s3-direct-promoteur-etage-prive-afh-2/;https://logis.fra1.digitaloceanspaces.com/10/Properties/132081/conversions/4rdqaLHYUDWnSZVm-thumb.jpg?c=1;14/02/2026 15:32
116676;690553;VENTE;Appartement;ARIANA;;Prix sur demande;112;CENTURY 21 Prestige;+216 2009 2000;Century 21 Prestige vous propose à la vente un appartement en S+3 avec entrée indépendante situé à l’Avenue Hedi Nouira, Ariana, dans une résidence calme et bien entretenue. L’appartement est composé comme...;https://century21.tn/property/a-vendre-appartement-s3-ariana/;https://logis.fra1.digitaloceanspaces.com/8/Properties/146543/conversions/hMMSgpK5Eb5wS1Wf-thumb.jpg?c=1;14/02/2026 15:32
116668;521751;LOCATION;Appartement;CITÉ LES PINS;;Prix sur demande;186;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la location un appartement S+3 vide à la Marsa *Emplacement: La Marsa *Typologie: S+3 *État: vide Il est composé de: -Un salon, une salle...;https://century21.tn/property/a-louer-appartement-s3-cite-les-pins/;https://logis.fra1.digitaloceanspaces.com/7/Properties/146691/conversions/ABYSfACFod2mYEZH-thumb.jpg?c=1;14/02/2026 15:32
111518;132192;LOCATION MEUBLÉ;Appartement;CITÉ EL MOUSTAKBEL (SIDI DAOUD);;Prix sur demande;200;CENTURY 21 Barros;+216 26 055 000;L’agence immobilière CENTURY 21 Barros Lac 2 vous propose à la location un appartement S+3 meublé avec jardin et piscine , à sidi daoued – Un salon – Une cuisine équipée –...;https://century21.tn/property/a-louer-appartement-s3-meuble-cite-el-moustakbel-sidi-daoud/;https://logis.fra1.digitaloceanspaces.com/6/Properties/140162/conversions/cne92yf7JCkTF5Cu-thumb.jpg?c=1;14/02/2026 15:32
113194;639352;LOCATION;Appartement;MUTUELLEVILLE;;Prix sur demande;200;CENTURY 21 Alliance;+216 29 221 222;L’agence immobilière Century 21 Alliance vous propose à la location un appartement S+4 situé à Mutuelle ville Composition : – Un salon – Une cuisine – Quatre chambres – Une chambre dressing...;https://century21.tn/property/a-louer-appartement-s4-mutuelleville/;https://logis.fra1.digitaloceanspaces.com/16/Properties/136220/conversions/MlFwqXocEkmC795h-thumb.jpg?c=1;14/02/2026 15:32
111953;173045;LOCATION MEUBLÉ;Appartement;SIDI DAOUD;;Prix sur demande;70;CENTURY 21 Invest;+216 50 950 000;L’agence Century 21 Invest vous propose pour la location un appartement S+1 Meublé neuf à Sidi Daoud doté d’une très belle vue dégagée sur la Cathédrale de Carthage. Typologie: S+1 Superficie :70...;https://century21.tn/property/a-louer-appartement-s1-richement-meuble-a-sidi-daoud/;https://logis.fra1.digitaloceanspaces.com/4/Properties/139649/conversions/NCoz9BMXmDo9Yds9-thumb.jpg?c=1;14/02/2026 15:32
116656;296342-3;VENTE;Duplex;LES BERGES DU LAC 2;;Prix sur demande;320;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 INFINITY vous propose à la vente un duplex S+3 avec chambre de service direct promoteur au lac2 . Emplacement : les berges du lac2 Superficie: 312m² Etat: NEUF...;https://century21.tn/property/a-vendre-appartement-duplex-s4-direct-promoteur-les-berges-du-lac-2/;https://logis.fra1.digitaloceanspaces.com/7/Properties/61480/conversions/3FZJiN5K9tatVwvc-thumb.jpg?c=1;14/02/2026 15:32
116548;242342;LOCATION;Villa;SIDI MAHRSI;;Prix sur demande;250;CENTURY 21 Challenge;21626577000;L’agence Century 21 Challenge vous propose une superbe villa à Nabeul – Sidi Mahrsi, offrant une magnifique vue sur la mer. Elle se compose d’un double salon avec salle à manger, d’une...;https://century21.tn/property/a-louer-villa-s3-sidi-mahrsi/;https://logis.fra1.digitaloceanspaces.com/10/Properties/146598/conversions/ATVgStoQK7QuIPKq-thumb.jpg?c=1;14/02/2026 15:32
109981;550612;LOCATION;Appartement;AOUINA;;Prix sur demande;63;CENTURY 21 Excellence;+216 26 44 74 74;L’agence immobilière CENTURY 21 Excellence La Marsa vous propose à la location un appartement S+1 vide jamais habité , situé à Ain Zaghouane. Il se compose de : – Un salon lumineux...;https://century21.tn/property/a-louer-appartement-s1-a-ain-zaghouane/;https://logis.fra1.digitaloceanspaces.com/14/Properties/138355/conversions/IC6VFXgE2R9OEj6X-thumb.jpg?c=1;14/02/2026 15:32
116643;990028;LOCATION;Appartement;CITÉ LES PALMERAIES;;Prix sur demande;55;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la location un appartement S+ 1 *Emplacement: cité les palmeraies *Typologie: S+1 *Superficie: 55 m² *État: vide Il est composé de: -Un salon, une...;https://century21.tn/property/a-louer-appartement-s1-cite-les-palmeraies-2/;https://logis.fra1.digitaloceanspaces.com/7/Properties/146722/conversions/3PLZNhkmArqwP7Xg-thumb.jpg?c=1;14/02/2026 15:32
110100;223828-2;VENTE;Appartement;GAMMARTH FORÊT;;Prix sur demande;197;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la vente un appartement S+3 au rez-de-chaussée à Gammarth forêt *Emplacement: Gammarth forêt *Typologie: S+3 *Superficie: 197 m² Il est composé de: -Un salon,...;https://century21.tn/property/a-vendre-appartement-s3-gammarth-foret-2/;https://logis.fra1.digitaloceanspaces.com/7/Properties/106532/conversions/huydSGeCWzUFQmgi-thumb.jpg?c=1;14/02/2026 15:32
116625;39758;LOCATION;Appartement;LA NOUVELLE SOUKRA;;Prix sur demande;167;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la location un appartement S+ 3 *Emplacement: cité les palmeraies *Typologie: S+3 *Superficie: 167 *État: vide Il est composé de: -Un salon, une salle...;https://century21.tn/property/a-louer-appartement-s3-cite-les-palmeraies/;https://logis.fra1.digitaloceanspaces.com/7/Properties/146128/conversions/GbQ3xexocmB6kQsN-thumb.jpg?c=1;14/02/2026 15:32
115910;823256;VENTE;Appartement;CHOTRANA 1;;Prix sur demande;127;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la vente un appartement S+2 à La Soukra *Emplacement: Chotrana 1 *Typologie: S+2 *Superficie: 127 m² *État: vide Il est composé de: -Un salon,...;https://century21.tn/property/a-vendre-appartement-s2-chotrana-1-5/;https://logis.fra1.digitaloceanspaces.com/7/Properties/145767/conversions/4qJtlp3EK8ayM2Bu-thumb.jpg?c=1;14/02/2026 15:32
116609;501937;VENTE;Appartement;AIN ZAGHOUAN;;Prix sur demande;128;CENTURY 21 Alliance;+216 29 221 222;CENTURY 21 ALLIANCE vous propose à la vente un appartement S+2 à Ain Zaghouan d’une superficie de 127m² dans une résidence sécurisée qui se compose comme suit : * Partie jour :...;https://century21.tn/property/a-vendre-appartement-s2-ain-zaghouan-3/;https://logis.fra1.digitaloceanspaces.com/16/Properties/138341/conversions/QdCR4EyC6kwk43ZK-thumb.jpg?c=1;14/02/2026 15:32
