gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,type_transaction,has_piscine,has_jardin,has_vue_mer,has_garage,has_meuble,has_terrasse,has_standing,has_cuisine_equip,has_climatisation,has_cheminee,has_vue_montagne,prix,image_url
23,0.0041,36.91,10.29,120.0,4.0,4.0,0.5,0.5442,2.0,2562.03,0.393,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5800.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-22-300x300.jpg
23,0.0021,36.8769,10.3247,300.0,2.0,4.0,0.5,0.8015,2.0,2562.03,0.3927,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2000.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-7-300x300.jpeg
23,0.0041,36.91,10.29,220.0,4.0,4.0,0.5,0.5442,2.0,2562.03,0.3939,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2300.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-21-300x300.jpg
16,0.4154,36.819,10.2358,300.0,4.0,6.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,890000.0,https://www.bnb.tn/wp-content/uploads/2025/09/thumb_1129693_property_xlarge-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,7.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,820000.0,https://www.bnb.tn/wp-content/uploads/2025/12/thumb_1221299_property_xlarge-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,4.0,4.0,0.5,0.8015,2.0,2562.03,0.3788,1,1,1,0,1,0,0,0,1,0,0,0,0,0,3800.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-73-300x300.jpeg
23,0.0045,36.819,10.2358,450.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11000.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-7-300x300.jpg
23,0.2792,36.819,10.2358,250.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,1,0,1,0,1,0,0,1,0,0,350000.0,https://www.bnb.tn/wp-content/uploads/2025/04/ETAGE-300x300.jpg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,650000.0,https://www.bnb.tn/wp-content/uploads/2024/12/thumb_977403_property_xlarge-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1050000.0,https://www.bnb.tn/wp-content/uploads/2025/12/thumb_1081218_property_xlarge-300x300.jpeg
23,0.0045,36.819,10.2358,280.0,3.0,3.0,0.5,0.517,2.0,43985.0,0.3168,1,1,1,0,1,0,0,1,1,0,0,0,0,0,7000.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-3-300x300.jpg
16,0.4154,36.819,10.2358,160.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,620000.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-3-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,3.0,4.0,0.5,0.8015,2.0,2562.03,0.4292,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2700.0,https://www.bnb.tn/wp-content/uploads/2026/01/IMG_7696-300x300.jpeg
23,0.0041,36.91,10.29,300.0,4.0,3.0,0.5,0.5442,2.0,2562.03,0.4344,1,1,1,1,1,0,0,1,0,0,0,0,0,0,4200.0,https://www.bnb.tn/wp-content/uploads/2026/01/IMG_9978-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,10.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1390000.0,https://www.bnb.tn/wp-content/uploads/2026/01/thumb_1267566_property_xlarge-300x300.jpeg
16,0.4154,36.4561,10.7376,150.0,4.0,4.0,0.5,0.4454,2.0,154974.0,0.3663,1,1,1,0,0,0,0,0,0,0,0,0,0,0,900.0,https://www.bnb.tn/wp-content/uploads/2026/01/thumb_1268434_property_xlarge-300x300.jpeg
16,0.4154,36.4561,10.7376,90.0,2.0,1.0,0.5,0.4454,2.0,154974.0,0.3855,1,1,1,0,0,0,0,1,0,0,0,0,0,0,800.0,https://www.bnb.tn/wp-content/uploads/2026/01/thumb_1268425_property_xlarge-300x300.jpeg
14,0.3353,33.3549,10.5055,300.0,4.0,6.0,0.5,0.4303,2.0,106845.0,0.3884,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2500.0,https://www.bnb.tn/wp-content/uploads/2026/01/IMG_20260127_162553-300x300.jpg
15,0.8999,35.8245,10.6346,300.0,4.0,4.0,0.5,0.517,2.0,150620.48,0.3541,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1300000.0,https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,750000.0,https://www.bnb.tn/wp-content/uploads/2025/12/thumb_1226386_property_xlarge-1-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1200000.0,https://www.bnb.tn/wp-content/uploads/2025/09/thumb_1129776_property_xlarge-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,8.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,750000.0,https://www.bnb.tn/wp-content/uploads/2026/01/thumb_1234870_property_xlarge-2-300x300.jpeg
23,1.0,36.844,10.192,120.0,4.0,4.0,0.5,0.3403,2.0,2562.03,0.3805,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2200.0,https://www.bnb.tn/wp-content/uploads/2025/08/9-13-300x300.jpg
23,0.0043,36.819,10.1658,250.0,4.0,4.0,0.5,0.4654,2.0,2562.03,0.4026,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3500.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-48-300x300.jpg
23,0.0021,36.8769,10.3247,300.0,2.0,4.0,0.5,0.8015,2.0,2562.03,0.3813,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1800.0,https://www.bnb.tn/wp-content/uploads/2026/01/1.1-300x300.jpeg
14,0.3353,36.819,10.2358,499.0,4.0,6.0,0.5,0.517,2.0,43985.0,0.3168,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2000.0,https://www.bnb.tn/wp-content/uploads/2026/01/IMG_20250812_111233-300x300.jpg
1,0.0028,36.8665,10.1647,300.0,4.0,4.0,0.5,0.5663,2.0,43985.0,0.3897,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3800.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-9-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,3.0,4.0,0.5,0.8015,2.0,2562.03,0.3879,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5000.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-35-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,8.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,670000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Im8999913.28-300x300.jpeg
23,0.0045,36.819,10.1658,220.0,3.0,4.0,0.5,0.5649,2.0,2562.03,0.4155,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5000.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-13-300x300.png
16,0.4154,36.4561,10.7376,130.0,2.0,2.0,0.5,0.4454,2.0,154974.0,0.3689,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1200.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-48-300x300.jpeg
16,0.4154,36.4561,10.7376,119.0,3.0,4.0,0.5,0.4454,2.0,154974.0,0.3989,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1400.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-22-300x300.jpeg
16,0.4154,36.4561,10.7376,60.0,1.0,4.0,0.5,0.4454,2.0,154974.0,0.3643,1,1,1,0,0,0,0,0,0,0,0,0,0,0,700.0,https://www.bnb.tn/wp-content/uploads/2026/01/thumb_1198014_property_xlarge-300x300.jpeg
23,1.0,36.819,10.2358,450.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1850000.0,https://www.bnb.tn/wp-content/uploads/2026/01/Filtre-Good-Life-15-300x300.jpg
1,0.1891,36.819,10.2358,1000.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1900000.0,https://www.bnb.tn/wp-content/uploads/2026/01/IMG_7244-300x300.jpg
16,0.4154,36.819,10.2358,416.0,3.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,1,0,0,0,0,0,0,0,620000.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-45-300x300.jpeg
1,0.0028,36.819,10.2358,3000.0,5.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4500.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-27-300x300.jpg
16,0.5996,35.8245,10.6346,300.0,4.0,4.0,0.5,0.517,2.0,150620.48,0.3541,1,1,0,0,0,0,0,0,0,0,0,0,0,0,665000.0,https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg
1,0.0028,36.8665,10.1647,300.0,3.0,4.0,0.5,0.5663,2.0,43985.0,0.3949,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3500.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-57-300x300.jpeg
16,0.4154,36.4561,10.7376,120.0,3.0,4.0,0.5,0.4454,2.0,154974.0,0.3678,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1400.0,https://www.bnb.tn/wp-content/uploads/2026/01/thumb_1214242_property_big-300x300.jpeg
23,0.0013,36.819,10.1658,300.0,2.0,4.0,0.5,0.5515,2.0,2562.03,0.3773,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1800.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-27-300x300.jpeg
16,0.4154,36.4561,10.7376,100.0,2.0,4.0,0.5,0.4454,2.0,154974.0,0.3775,1,1,1,0,0,0,0,1,0,0,0,0,0,0,650.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-21-300x300.jpeg
1,0.0028,36.8665,10.1647,400.0,5.0,4.0,0.5,0.5663,2.0,43985.0,0.3718,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3500.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-90-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,2.0,4.0,0.5,0.8015,2.0,2562.03,0.3945,1,1,1,0,0,1,0,1,0,0,0,0,0,0,5000.0,https://www.bnb.tn/wp-content/uploads/2026/01/2-11-300x300.jpeg
23,0.0021,36.819,10.1658,300.0,4.0,4.0,0.5,0.5572,2.0,2562.03,0.3737,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3400.0,https://www.bnb.tn/wp-content/uploads/2025/11/1-6-300x300.jpg
23,0.0045,36.819,10.1658,300.0,4.0,4.0,0.5,0.5649,2.0,2562.03,0.3943,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-11-05-at-19.19.48_81361234-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,3.0,4.0,0.5,0.8015,2.0,2562.03,0.3898,1,1,1,0,1,0,0,0,0,0,1,0,0,0,4000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-11-05-at-19.23.41_81361374-1-300x300.jpeg
23,0.0045,36.819,10.1658,300.0,3.0,4.0,0.5,0.5649,2.0,2562.03,0.4078,1,1,1,0,1,0,0,1,0,0,1,0,0,0,7000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-11-05-at-19.22.57_81361301-300x300.jpeg
23,0.0027,36.819,10.1658,300.0,6.0,4.0,0.5,0.5674,2.0,2562.03,0.4218,1,1,1,1,1,0,0,0,0,0,1,0,0,0,4000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-11-17-at-11.42.33_81483563-300x300.jpeg
23,0.0027,36.8528,10.3247,300.0,4.0,4.0,0.5,0.5388,2.0,2562.03,0.3914,1,1,1,0,1,1,0,0,0,0,0,0,0,0,5000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-09-22-at-22.08.09-3_81092222-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,4.0,4.0,0.5,0.8015,2.0,2562.03,0.45,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1300.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-11-05-at-20.05.20-1_81361496-300x300.jpeg
23,0.0027,35.8245,10.6346,300.0,4.0,4.0,0.5,0.517,2.0,150620.48,0.3541,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3800.0,https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg
23,0.0045,36.819,10.1658,300.0,5.0,4.0,0.5,0.5649,2.0,2562.03,0.4318,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-15-at-12.04.05-1_81628021-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,4.0,4.0,0.5,0.8015,2.0,2562.03,0.3972,1,1,1,1,0,0,0,0,0,0,1,0,0,0,6000.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-11-06-at-12.26.01-1_81483399-300x300.jpeg
23,0.0045,36.819,10.1658,300.0,5.0,4.0,0.5,0.5649,2.0,2562.03,0.4099,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7500.0,https://www.bnb.tn/wp-content/uploads/2026/01/WhatsApp-Image-2025-10-08-at-14.39.28-3_81193015-300x300.jpeg
1,0.0028,36.8665,10.1647,225.0,4.0,4.0,0.5,0.5663,2.0,43985.0,0.4125,1,1,1,1,0,0,0,1,0,0,0,0,0,0,5500.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-4-300x300.jpeg
23,0.0027,36.8528,10.3247,300.0,3.0,4.0,0.5,0.5388,2.0,2562.03,0.3805,1,1,1,0,1,0,0,1,0,0,0,0,0,0,3500.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-300x300.jpeg
16,0.4154,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,830000.0,https://www.bnb.tn/wp-content/uploads/2025/09/thumb_1170687_property_xlarge-300x300.jpeg
23,0.0037,36.819,10.1658,450.0,4.0,4.0,0.5,0.6863,2.0,2562.03,0.3723,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3800.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-60-300x300.jpg
23,0.0037,36.819,10.2358,110.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,250000.0,https://www.bnb.tn/wp-content/uploads/2025/12/DSCN0802-300x300.jpg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1180000.0,https://www.bnb.tn/wp-content/uploads/2025/09/thumb_1129873_property_xlarge-300x300.jpeg
23,0.1891,36.819,10.2358,457.0,4.0,6.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG_3084-300x300.png
14,0.3353,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,1,0,0,1,0,0,0,0,690000.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG_20251224_022007-300x300.jpg
1,0.0028,36.819,10.2358,1300.0,5.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7500.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-68-300x300.jpeg
1,0.1891,36.819,10.2358,992.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2000000.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG_5763-300x300.jpeg
3,0.6396,36.8,10.1,130.0,4.0,4.0,0.5,0.5506,2.0,110184.0,0.3971,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1100.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-62-300x300.jpeg
17,0.6797,36.819,10.2358,1215.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1440000.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG-20251217-WA0031-300x300.jpg
1,0.0028,36.8665,10.1647,300.0,3.0,4.0,0.5,0.5663,2.0,43985.0,0.3702,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1800.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-64-300x300.jpeg
11,0.1891,35.8245,10.6346,180.0,4.0,4.0,0.5,0.517,2.0,150620.48,0.3541,1,1,0,0,0,0,0,0,0,0,0,0,0,0,370000.0,https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg
23,0.0037,36.819,10.1658,300.0,4.0,4.0,0.5,0.6863,2.0,2562.03,0.3695,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13000.0,https://www.bnb.tn/wp-content/uploads/2025/12/bf45d34d-1598-4576-ba7a-d4540b31d708-1-300x300.jpg
1,0.1891,36.8665,10.1647,120.0,4.0,2.0,0.5,0.5305,2.0,43985.0,0.3586,1,1,1,0,0,0,0,0,1,0,0,0,0,0,900.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG-20251104-WA00061-300x300.jpg
23,1.0,35.8245,10.6346,150.0,4.0,4.0,0.5,0.517,2.0,150620.48,0.3541,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1700000.0,https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg
11,0.1891,35.8245,10.6346,180.0,4.0,4.0,0.5,0.517,2.0,150620.48,0.3541,1,1,0,0,0,0,0,0,0,0,0,0,0,0,370000.0,https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg
23,0.0021,36.819,10.1658,300.0,3.0,4.0,0.5,0.5572,2.0,2562.03,0.3714,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4000.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-46-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1350000.0,https://www.bnb.tn/wp-content/uploads/2025/12/thumb_1226353_property_xlarge-300x300.jpeg
17,0.6797,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,850000.0,https://www.bnb.tn/wp-content/uploads/2025/12/att.hXypb9Be1CKJx1GOwN6LHVKXhU_4ieguaAW5tu-6YnA-300x300.jpeg
23,0.0041,36.91,10.29,300.0,3.0,4.0,0.5,0.5442,2.0,2562.03,0.4079,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7000.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-19-300x300.jpg
16,0.4154,36.4561,10.7376,250.0,4.0,3.0,0.5,0.4454,2.0,154974.0,0.3847,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1000.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG_8116-300x300.jpeg
23,0.0027,36.819,10.1658,300.0,5.0,4.0,0.5,0.5674,2.0,2562.03,0.3982,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4500.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-18-300x300.jpg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,890000.0,https://www.bnb.tn/wp-content/uploads/2024/10/thumb_919783_property_xlarge-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,2.0,4.0,0.5,0.8015,2.0,2562.03,0.3945,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2500.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-26-300x300.jpeg
16,0.5996,36.819,10.2358,200.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,400000.0,https://www.bnb.tn/wp-content/uploads/2025/06/thumb_1103256_property_xlarge-300x300.jpeg
16,0.4154,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,980000.0,https://www.bnb.tn/wp-content/uploads/2025/11/thumb_1129768_property_xlarge-2-300x300.jpeg
3,0.1891,36.819,10.2358,312.0,4.0,3.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,380000.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG_20230206_160926-300x300.jpg
3,0.3032,36.819,10.2358,250.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,1,0,0,0,0,0,0,0,0,0,780000.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG_9877-300x300.png
16,0.5996,36.819,10.2358,400.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,1,0,1,0,0,0,0,0,0,0,0,0,700.0,https://www.bnb.tn/wp-content/uploads/2025/12/IMG_0130-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,3.0,4.0,0.5,0.8015,2.0,2562.03,0.399,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2500.0,https://www.bnb.tn/wp-content/uploads/2025/12/1-4-300x300.jpg
3,0.6396,36.819,10.2358,500.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,800000.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-65-300x300.jpeg
16,0.4154,36.819,10.2358,302.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,520000.0,https://www.bnb.tn/wp-content/uploads/2025/04/thumb_1059271_property_xlarge-2-300x300.jpeg
16,0.4154,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,650000.0,https://www.bnb.tn/wp-content/uploads/2024/12/thumb_962148_property_xlarge-300x300.jpeg
16,0.4154,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,1,0,0,0,0,300000.0,https://www.bnb.tn/wp-content/uploads/2024/09/246ea8eb-03ac-4ae7-8e00-7b3339a1a1cc-300x300.jpeg
20,0.1333,36.819,10.2358,140.0,4.0,6.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,1,0,0,0,0,0,0,0,0,0,450000.0,https://www.bnb.tn/wp-content/uploads/2025/11/20251119_112302-300x300.jpg
