gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_jardin,has_garage,has_piscine,has_terrasse,has_vue_mer,has_securite,has_meuble,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_cheminee,has_standing,has_vue_montagne,prix,image_url
16,0.1512,36.4561,10.7376,400.0,4.0,4.0,0.5,0.4552,2.0,154974.0,0.3691,4,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1050000.0,https://www.mubawab-media.com/ad/8/159/299F/h/thumb_1107188_property_large_80452187.avif
16,0.1512,36.819,10.2358,1012.0,3.0,3.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1100000.0,https://www.mubawab-media.com/ad/8/005/846F/h/thumb_912539_property_large_78920751.avif
23,0.4138,36.819,10.2358,250.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000.0,nan
23,0.4138,36.8769,10.3247,140.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3424,4,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,830000.0,https://www.mubawab-media.com/ad/8/131/282F/h/thumb_1076922_property_large_80160180.avif
23,1.0,36.819,10.2358,500.0,7.0,5.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4500000.0,https://www.mubawab-media.com/ad/8/026/153F/h/b07ed2f1-0d63-4de8-9ec6-d3d78431f3ce_GF_79120315.avif
16,0.1434,36.4561,10.7376,365.0,5.0,4.0,0.5,0.4454,2.0,154974.0,0.3545,4,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,570000.0,https://www.mubawab-media.com/ad/8/073/967F/h/1da19d22af1fbb0d9f7468e37769555d_79597345.avif
1,0.3004,36.8665,10.1647,360.0,4.0,5.0,0.5,0.5305,2.0,43985.0,0.3022,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1800000.0,https://www.mubawab-media.com/ad/8/304/311F/h/photo_00_81976707.avif
23,0.4138,36.819,10.2358,900.0,6.0,5.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3000000.0,https://www.mubawab-media.com/ad/7/996/924F/h/fd837f13-adfb-4af2-98d8-d1a489394920_GF_GF_78826407.avif
1,0.3333,36.899,10.2358,347.0,5.0,5.0,0.5,0.4235,2.0,43985.0,0.2758,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1273000.0,https://www.mubawab-media.com/ad/8/265/974F/h/thumb_1219433_property_xlarge_81562900.avif
16,0.0484,36.8,10.1,156.0,1.0,3.0,0.5,0.2426,2.0,110184.0,0.2875,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,150000.0,https://www.mubawab-media.com/ad/8/219/101F/h/77e25d0f-580f-43e8-833a-846bf0385238_81060192.avif
23,0.5349,36.844,10.192,350.0,5.0,4.0,0.5,0.3403,2.0,43985.0,0.3065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000.0,https://www.mubawab-media.com/ad/8/304/045F/h/m9_81974866.avif
16,0.1512,36.4561,10.7376,250.0,4.0,2.0,0.5,0.4552,2.0,154974.0,0.3148,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,580000.0,https://www.mubawab-media.com/ad/8/304/147F/h/WhatsApp%20Image%202026-02-13%20at%2011.56.36_81974867.avif
23,0.4138,36.8769,10.3247,150.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2968,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,900000.0,https://www.mubawab-media.com/ad/8/304/077F/h/9_81974433.avif
23,0.1337,36.8,10.1,439.0,3.0,3.0,0.5,0.3155,2.0,110184.0,0.2722,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,480000.0,https://www.mubawab-media.com/ad/8/304/102F/h/thumb_1279260_property_large_81974342.avif
16,0.155,36.8,10.1,245.0,1.0,3.0,0.5,0.1884,2.0,110184.0,0.3025,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,635000.0,https://www.mubawab-media.com/ad/8/288/376F/h/thumb_1240780_property_large_81805277.avif
16,0.1512,36.4561,10.7376,420.0,1.0,4.0,0.5,0.4552,2.0,154974.0,0.2742,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1700000.0,https://www.mubawab-media.com/ad/8/295/260F/h/thumb_1269325_property_large_81880359.avif
16,0.0484,36.8,10.1,120.0,6.0,6.0,0.5,0.2426,2.0,110184.0,0.275,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/233/026F/h/1_81211509.avif
23,0.1066,36.819,10.1658,200.0,4.0,4.0,0.5,0.6863,2.0,2562.03,0.3152,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/304/042F/h/Dar%20Ezzouhour_81973849.avif
16,0.1192,36.819,10.2358,1331.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,245000.0,https://www.mubawab-media.com/ad/7/638/091F/h/thumb_46202_property_big_43510784.avif
16,0.1473,36.8,10.1,110.0,1.0,1.0,0.5,0.1622,2.0,110184.0,0.3148,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88000.0,https://www.mubawab-media.com/ad/7/783/681F/h/5_56893309.avif
16,0.0484,36.8,10.1,250.0,3.0,2.0,0.5,0.2426,2.0,110184.0,0.314,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,270000.0,https://www.mubawab-media.com/ad/7/851/167F/h/45122585_2274954042545646_7768331116624216064_n_66007291.avif
16,0.0484,36.8,10.1,271.0,3.0,3.0,0.5,0.2426,2.0,110184.0,0.2722,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/7/586/094F/h/314502085_199585305881769_8904577470885802161_n_35791604.avif
16,0.1434,36.819,10.2358,250.0,3.0,3.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1300000.0,https://www.mubawab-media.com/ad/7/859/791F/h/thumb_759321_property_big_67440158.avif
16,0.155,36.8,10.1,580.0,5.0,5.0,0.5,0.1884,2.0,110184.0,0.3164,4,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,890000.0,https://www.mubawab-media.com/ad/8/134/605F/h/thumb_1080851_property_large_80195911.avif
23,0.4138,36.819,10.2358,200.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2500000.0,https://www.mubawab-media.com/ad/8/178/947F/h/IMG_1459_80652339.avif
23,0.4574,36.8,10.1,550.0,7.0,6.0,0.5,0.3453,2.0,110184.0,0.3188,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1670000.0,https://www.mubawab-media.com/ad/8/292/175F/h/628412065_1561436735086421_5868857106701989439_n_81963199.avif
20,0.1124,35.8604,10.5953,378.0,2.0,4.0,0.5,0.3642,2.0,150620.48,0.2718,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1180000.0,https://www.mubawab-media.com/ad/8/133/433F/h/d53b8039-360b-47d7-a5a0-edfabcf184d0%20-%20Copie_80182893.avif
20,0.1221,36.8,10.1,180.0,5.0,4.0,0.5,0.3272,2.0,110184.0,0.2742,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/201/043F/h/WhatsApp%20Image%202025-08-16%20at%2012.02.52_80871652.avif
20,0.1357,36.8,10.1,200.0,5.0,4.0,0.5,0.2413,2.0,110184.0,0.2754,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,260000.0,https://www.mubawab-media.com/ad/8/149/121F/h/WhatsApp%20Image%202025-11-26%20at%2010.43.40%20AM_81481047.avif
23,0.4138,36.8769,10.3247,440.0,5.0,5.0,0.5,0.8015,2.0,2562.03,0.275,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1350000.0,https://www.mubawab-media.com/ad/8/276/629F/h/IMG-20201130-WA0019_81679123.avif
20,0.1192,36.819,10.2358,3600.0,2.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,570000.0,https://www.mubawab-media.com/ad/8/296/544F/h/1_81894376.avif
23,0.4138,36.819,10.2358,250.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000.0,nan
23,0.4138,36.8769,10.3247,250.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.2722,4,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,3050000.0,https://www.mubawab-media.com/ad/8/286/513F/h/thumb_1219091_property_xlarge_81785520.avif
1,0.3333,36.899,10.2358,240.0,4.0,4.0,0.5,0.4235,2.0,43985.0,0.3188,4,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1550000.0,https://www.mubawab-media.com/ad/8/021/113F/h/2EDCB506-8302-40C9-93FB-2C18ED5D087F_79073010.avif
20,0.0329,36.8,10.1,117.0,6.0,4.0,0.5,0.1695,2.0,110184.0,0.2722,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,180000.0,https://www.mubawab-media.com/ad/8/303/898F/h/les-bonnes-raisons-craquer-plan-maison-contemporaine-1_81972497.avif
14,0.1163,36.8,10.1,137.0,1.0,5.0,0.5,0.3307,2.0,110184.0,0.3164,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,580000.0,https://www.mubawab-media.com/ad/8/298/717F/h/PHOTO-2026-02-06-11-06-00_81919773.avif
20,0.1124,35.8604,10.5953,160.0,1.0,3.0,0.5,0.3642,2.0,150620.48,0.2738,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000.0,https://www.mubawab-media.com/ad/8/287/934F/h/WhatsApp%20Image%202026-01-14%20at%2012.38.12_81800499.avif
7,0.0891,36.5011,8.7757,65.0,3.0,2.0,0.5,0.2519,2.0,152144.23,0.3013,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,160000.0,https://www.mubawab-media.com/ad/8/303/439F/h/10312_81968044.avif
16,0.0484,36.8,10.1,140.0,3.0,2.0,0.5,0.2426,2.0,110184.0,0.3269,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,260000.0,https://www.mubawab-media.com/ad/8/291/385F/h/5baf3662-16fa-447e-bd59-c1f97e63f352_81851576.avif
8,0.0523,35.6781,10.0963,200.0,2.0,5.0,0.5,0.2424,2.0,178346.92,0.2738,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000.0,https://www.mubawab-media.com/ad/7/910/404F/h/59117411303042024_tu_kair1_1192994600_1024_6edda36f-434b-4c95-8ed8-50f6e2dedcf4%20%281%29%20-%20Copie_74829951.avif
8,0.0523,35.6781,10.0963,120.0,6.0,4.0,0.5,0.2424,2.0,178346.92,0.2738,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,240000.0,https://www.mubawab-media.com/ad/8/150/621F/h/WhatsApp%20Image%202025-05-05%20at%2010.47.08_80353296.avif
8,0.1192,36.8,10.1,174.0,5.0,5.0,0.5,0.1503,2.0,110184.0,0.273,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,380000.0,https://www.mubawab-media.com/ad/8/216/018F/h/t%C3%A9l%C3%A9chargement_81027219.avif
