gouvernorat_enc,ville_enc,lat,lon,surface_m2,score_attractivite,market_tension,prix_region_median,text_embedding_score,nb_images,source_enc,type_transaction,has_vue_mer,has_vue_montagne,prix,image_url
16,0.226,36.4561,10.7376,330.0,0.5,0.4454,154974.0,0.3136,1,0,0,0,0,550000.0,https://www.mubawab-media.com/ad/8/252/456F/h/1000_F_116801095_yK5XMGQcHiRtAj6ewLNtBQ2iasP1m7sa_81410374.avif
16,0.226,36.4561,10.7376,456.0,0.5,0.4454,154974.0,0.3102,1,0,0,0,0,800000.0,https://www.mubawab-media.com/ad/8/255/614F/h/affiche%20vente2_81443061.avif
16,0.226,36.4561,10.7376,547.0,0.5,0.4454,154974.0,0.3148,2,0,0,0,0,720000.0,https://www.mubawab-media.com/ad/8/207/030F/h/t%C3%A9l%C3%A9chargement_80930921.avif
16,0.0915,36.4561,10.7376,1750.0,0.5,0.4552,154974.0,0.3176,1,0,0,0,0,5000000.0,https://www.mubawab-media.com/ad/8/302/696F/h/affiche2_81960351.avif
16,0.226,36.819,10.2358,13000.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,8500000.0,https://www.mubawab-media.com/ad/8/302/995F/h/affiche2_81963269.avif
23,0.3826,36.819,10.2358,568.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,240000.0,nan
1,0.3067,36.899,10.2358,404.0,0.5,0.4235,43985.0,0.3152,1,0,0,0,0,343400.0,https://www.mubawab-media.com/ad/8/233/878F/h/thumb_1183776_property_xlarge_81219321.avif
23,0.2657,36.819,10.1658,272.0,0.5,0.5524,2562.03,0.2778,1,0,0,0,0,480000.0,https://www.mubawab-media.com/ad/8/299/226F/h/gallery_81925078.avif
1,0.3067,36.899,10.2358,700.0,0.5,0.4235,43985.0,0.2758,3,0,0,0,0,840000.0,https://www.mubawab-media.com/ad/8/128/562F/h/thumb_1074519_property_large_80132757.avif
1,0.3078,36.8665,10.1647,2500.0,0.5,0.5305,43985.0,0.3132,4,0,0,0,0,3750000.0,https://www.mubawab-media.com/ad/8/304/357F/h/1_81977070.avif
1,0.3078,36.8665,10.1647,850.0,0.5,0.5305,43985.0,0.3098,4,0,0,0,0,1105000.0,https://www.mubawab-media.com/ad/7/926/827F/h/1_76145209.avif
16,0.0915,36.4561,10.7376,900.0,0.5,0.4552,154974.0,0.3302,1,0,0,0,0,810000.0,https://www.mubawab-media.com/ad/8/244/772F/h/photo_0_81332440.avif
20,0.2072,35.8245,10.6346,1772.0,0.5,0.517,150620.48,0.2746,1,0,0,0,0,900000.0,https://www.mubawab-media.com/ad/8/253/407F/h/Capture%20d%E2%80%99%C3%A9cran%202025-11-10%20035214_81420126.avif
16,0.0485,36.8,10.1,340.0,0.5,0.2426,110184.0,0.3168,4,0,0,0,0,205000.0,https://www.mubawab-media.com/ad/7/780/842F/h/Sans%20titre55_81205768.avif
16,0.226,36.4561,10.7376,9460.0,0.5,0.4454,154974.0,0.318,3,0,0,0,0,420000.0,https://www.mubawab-media.com/ad/8/255/739F/h/thumb_1211219_property_large_81444381.avif
16,0.226,36.4561,10.7376,10600.0,0.5,0.4454,154974.0,0.3176,4,0,0,0,0,865000.0,https://www.mubawab-media.com/ad/8/059/361F/h/thumb_871673_property_large_79451810.avif
1,0.1223,36.8665,10.1647,23782.0,0.5,0.247,43985.0,0.3188,1,0,0,0,0,2853840.0,https://www.mubawab-media.com/ad/8/304/965F/h/terrain_81982523.avif
23,0.3826,36.8769,10.3247,325.0,0.5,0.8015,2562.03,0.2924,4,0,0,0,0,455000.0,https://www.mubawab-media.com/ad/8/038/420F/h/64a5bd3a-527b-495d-af48-a10ba67556ff_GF_79242712.avif
1,0.1091,36.819,10.2358,70000.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,150000.0,https://www.mubawab-media.com/ad/8/304/898F/h/thumb_1280155_property_xlarge_81981757.avif
16,0.226,36.4561,10.7376,459.0,0.5,0.4454,154974.0,0.318,1,0,0,0,0,298000.0,https://www.mubawab-media.com/ad/8/128/093F/h/A%20LOUER%20%281%29_80128028.avif
16,0.226,36.4561,10.7376,422.0,0.5,0.4454,154974.0,0.3176,1,0,0,0,0,274000.0,https://www.mubawab-media.com/ad/8/164/123F/h/1_80501515.avif
16,0.226,36.4561,10.7376,207.0,0.5,0.4454,154974.0,0.316,3,0,0,0,0,310000.0,https://www.mubawab-media.com/ad/8/095/429F/h/thumb_1018119_property_xlarge_79802266.avif
16,0.226,36.4561,10.7376,8000.0,0.5,0.4454,154974.0,0.3077,1,0,0,0,0,5600000.0,https://www.mubawab-media.com/ad/8/304/345F/h/wooden-yard-sale-sign-over-green-grass-background_392895-656987_81981548.avif
16,0.0496,36.8,10.1,3500.0,0.5,0.2091,110184.0,0.3184,1,0,0,0,0,700000.0,https://www.mubawab-media.com/ad/7/906/091F/h/thumb_808863_property_xlarge_74343119.avif
16,0.0915,36.4561,10.7376,295.0,0.5,0.4552,154974.0,0.313,1,0,0,0,0,200000.0,https://www.mubawab-media.com/ad/8/302/965F/h/affiche2_81963033.avif
16,0.226,36.4561,10.7376,450.0,0.5,0.4454,154974.0,0.3345,1,0,0,0,0,700000.0,https://www.mubawab-media.com/ad/8/266/147F/h/affiche%20vente2_81564783.avif
16,0.0915,36.4561,10.7376,760.0,0.5,0.4552,154974.0,0.32,1,0,0,0,0,1000000.0,https://www.mubawab-media.com/ad/8/158/574F/h/1_80444552.avif
23,1.0,36.8528,10.3247,1350.0,0.5,0.5388,2562.03,0.2826,1,0,0,0,0,2300000.0,https://www.mubawab-media.com/ad/8/300/346F/h/1000051363_81935858.avif
23,0.3826,36.8769,10.3247,1348.0,0.5,0.8015,2562.03,0.3471,1,0,0,0,0,5800000.0,https://www.mubawab-media.com/ad/8/300/340F/h/1000051361_81935808.avif
23,0.3826,36.819,10.2358,568.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,890000.0,nan
16,0.1466,36.8,10.1,378.0,0.5,0.1884,110184.0,0.3176,2,0,0,0,0,378000.0,https://www.mubawab-media.com/ad/7/985/816F/h/fb672576-2ad6-4c09-a783-a336884e632c_79914927.avif
16,0.0915,36.4561,10.7376,307.0,0.5,0.4552,154974.0,0.3105,2,0,0,0,0,205690.0,https://www.mubawab-media.com/ad/8/278/180F/h/thumb_1232666_property_xlarge_81696711.avif
16,0.1466,36.8,10.1,365.0,0.5,0.1884,110184.0,0.3156,2,0,0,0,0,365000.0,https://www.mubawab-media.com/ad/8/024/573F/h/thumb_936278_property_large_79106175.avif
16,0.226,36.4561,10.7376,254.0,0.5,0.4454,154974.0,0.3105,1,0,0,0,0,266700.0,https://www.mubawab-media.com/ad/8/294/065F/h/thumb_1268217_property_large_81864750.avif
16,0.226,36.4561,10.7376,733.0,0.5,0.4454,154974.0,0.3102,1,0,0,0,0,198000.0,https://www.mubawab-media.com/ad/8/269/214F/h/thumb_1223425_property_large_81600541.avif
16,0.226,36.4561,10.7376,368.0,0.5,0.4454,154974.0,0.3168,1,0,0,0,0,460000.0,https://www.mubawab-media.com/ad/8/217/845F/h/thumb_1164286_property_large_81046748.avif
16,0.226,36.4561,10.7376,386.0,0.5,0.4454,154974.0,0.3176,1,0,0,0,0,335000.0,https://www.mubawab-media.com/ad/8/001/175F/h/thumb_899081_property_large_78870385.avif
14,0.0606,33.3549,10.5055,1473.0,0.5,0.4303,106845.0,0.316,2,0,0,0,0,310000.0,https://www.mubawab-media.com/ad/8/245/810F/h/69b119d0-f03e-4c9d-a893-347d10055876_81343422.avif
1,0.3078,36.8665,10.1647,600.0,0.5,0.5305,43985.0,0.2754,1,0,0,0,0,950000.0,https://www.mubawab-media.com/ad/8/247/827F/h/IMG_1519_81682546.avif
23,0.3826,36.8769,10.3247,400.0,0.5,0.8015,2562.03,0.325,1,0,0,0,0,1200000.0,https://www.mubawab-media.com/ad/8/293/971F/h/thumb_1268026_property_large_81863516.avif
16,0.0915,36.4561,10.7376,230.0,0.5,0.4552,154974.0,0.2714,4,0,0,0,0,39001.0,https://www.mubawab-media.com/ad/8/031/720F/h/_MG_5235_79175662.avif
16,0.0915,36.4561,10.7376,204.0,0.5,0.4552,154974.0,0.3184,1,0,0,0,0,150000.0,https://www.mubawab-media.com/ad/8/254/542F/h/thumb_1209509_property_large_81431916.avif
16,0.1422,36.4561,10.7376,2116.0,0.5,0.2383,154974.0,0.314,1,0,0,0,0,360000.0,https://www.mubawab-media.com/ad/8/256/655F/h/thumb_1213267_property_large_81453998.avif
16,0.1422,36.4561,10.7376,311.0,0.5,0.2383,154974.0,0.3164,1,0,0,0,0,95000.0,https://www.mubawab-media.com/ad/7/876/507F/h/Plan%20lottisement_69583228.avif
16,0.1466,36.8,10.1,2002.0,0.5,0.1884,110184.0,0.3301,3,0,0,0,0,330000.0,https://www.mubawab-media.com/ad/8/263/570F/h/thumb_1218168_property_xlarge_81535008.avif
16,0.226,36.4561,10.7376,3400.0,0.5,0.4454,154974.0,0.3156,1,0,0,0,0,1700000.0,https://www.mubawab-media.com/ad/8/173/785F/h/Brown%20Simple%20Home%20For%20Sale%20Facebook%20Post_80599463.avif
16,0.1422,36.4561,10.7376,4467.0,0.5,0.2383,154974.0,0.3152,1,0,0,0,0,760000.0,https://www.mubawab-media.com/ad/8/256/660F/h/thumb_1213297_property_large_81454045.avif
16,0.226,36.4561,10.7376,470.0,0.5,0.4454,154974.0,0.3184,1,0,0,0,0,545000.0,https://www.mubawab-media.com/ad/7/889/239F/h/Brown%20Simple%20Home%20For%20Sale%20Facebook%20Post_79723526.avif
23,1.0,36.8528,10.3247,1500.0,0.5,0.5388,2562.03,0.2758,1,0,0,0,0,3750000.0,https://www.mubawab-media.com/ad/7/815/447F/h/IMG_20231119_215618_60796401.avif
23,0.3826,36.8769,10.3247,474.0,0.5,0.8015,2562.03,0.2722,1,0,0,0,0,720000.0,https://www.mubawab-media.com/ad/8/220/168F/h/1000026142_81071249.avif
1,0.3078,36.8665,10.1647,800.0,0.5,0.5305,43985.0,0.2714,1,0,0,0,0,700000.0,https://www.mubawab-media.com/ad/8/304/807F/h/thumb_1280019_property_large_81980887.avif
1,0.3067,36.899,10.2358,365.0,0.5,0.4235,43985.0,0.2778,2,0,0,0,0,275000.0,https://www.mubawab-media.com/ad/8/294/477F/h/gallery_81869307.avif
1,0.3067,36.899,10.2358,500.0,0.5,0.4235,43985.0,0.3176,2,0,0,0,0,700000.0,https://www.mubawab-media.com/ad/8/127/986F/h/logo_80986427.avif
23,0.3826,36.819,10.2358,568.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,890000.0,nan
16,0.0915,36.4561,10.7376,500.0,0.5,0.4552,154974.0,0.2754,4,0,0,0,0,100000.0,https://www.mubawab-media.com/ad/8/296/069F/h/_MG_5321_81889771.avif
15,0.1223,36.8,10.1,1325.0,0.5,0.2178,110184.0,0.3164,1,0,0,0,0,360000.0,https://www.mubawab-media.com/ad/8/293/777F/h/32e75657-7a29-4260-b4f6-c9e837e89d79_81861441.avif
15,0.1223,36.8,10.1,6582.0,0.5,0.2178,110184.0,0.3164,1,0,0,0,0,300000.0,https://www.mubawab-media.com/ad/8/293/792F/h/gallery%20%2830%29_81861648.avif
1,0.3067,36.899,10.2358,500.0,0.5,0.4235,43985.0,0.2714,2,0,0,0,0,600000.0,https://www.mubawab-media.com/ad/8/291/780F/h/579663627_2010947716335368_5909690461024442496_n_81841048.avif
16,0.1356,36.8,10.1,12500.0,0.5,0.1953,110184.0,0.2746,4,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/281/697F/h/WhatsApp%20Image%202025-12-28%20at%2019.42.56%20%282%29%20copie_81738516.avif
12,0.1268,35.5047,11.0622,1800.0,0.5,0.4425,1278.45,0.3176,1,0,0,0,0,2700000.0,https://www.mubawab-media.com/ad/8/243/611F/h/thumb_1195288_property_large_81318545.avif
1,0.3067,36.899,10.2358,502.0,0.5,0.4235,43985.0,0.3104,1,0,0,0,0,570000.0,https://www.mubawab-media.com/ad/8/266/654F/h/368013582_297544239827586_2822735390022089808_n_81573905.avif
12,0.1135,36.8,10.1,452.0,0.5,0.1779,110184.0,0.2738,1,0,0,0,0,330000.0,https://www.mubawab-media.com/ad/8/301/454F/h/detail_81947331.avif
16,0.0485,36.8,10.1,800.0,0.5,0.2426,110184.0,0.2774,4,0,0,0,0,195000.0,https://www.mubawab-media.com/ad/8/038/827F/h/Sans%20titre_81390341.avif
9,0.1268,36.8,10.1,60.0,0.5,0.1503,110184.0,0.3196,4,0,0,0,0,480000.0,https://www.mubawab-media.com/ad/8/302/659F/h/1b184680-8745-4e76-b46e-8e231516f1d1_GF_81959948.avif
23,0.3826,36.819,10.1658,392.0,0.5,0.3526,2562.03,0.329,3,0,0,0,0,1760000.0,https://www.mubawab-media.com/ad/8/244/511F/h/IMG_5001_81328062.avif
16,0.226,36.4561,10.7376,2400.0,0.5,0.4454,154974.0,0.3176,1,0,0,0,0,3950000.0,https://www.mubawab-media.com/ad/8/056/576F/h/Brown%20Simple%20Home%20For%20Sale%20Facebook%20Post_79423908.avif
16,0.0915,36.4561,10.7376,315.0,0.5,0.4552,154974.0,0.3192,1,0,0,0,0,378000.0,https://www.mubawab-media.com/ad/8/257/607F/h/thumb_1213931_property_large_81463000.avif
16,0.0915,36.4561,10.7376,792.0,0.5,0.4552,154974.0,0.2714,1,0,0,0,0,950000.0,https://www.mubawab-media.com/ad/8/152/051F/h/terrain-a-vendre-2_80368224.avif
17,0.0408,36.819,10.2358,68800.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,480000.0,https://www.mubawab-media.com/ad/8/304/818F/h/thumb_1279968_property_xlarge_81980932.avif
23,0.3826,36.8769,10.3247,600.0,0.5,0.8015,2562.03,0.3298,1,0,0,0,0,670000.0,https://www.mubawab-media.com/ad/7/768/829F/h/photo_0_54985254.avif
17,0.0408,36.8,10.1,4240.0,0.5,0.2078,110184.0,0.318,4,0,0,0,0,125000.0,https://www.mubawab-media.com/ad/8/304/721F/h/thumb_1279922_property_xlarge_81980046.avif
1,0.3067,36.899,10.2358,508.0,0.5,0.4235,43985.0,0.2766,1,0,0,0,0,730000.0,https://www.mubawab-media.com/ad/8/293/337F/h/AV%20TERRAIN%20_81857100.avif
20,0.2072,35.8245,10.6346,382.0,0.5,0.517,150620.48,0.3144,1,0,0,0,0,343800.0,https://www.mubawab-media.com/ad/8/280/475F/h/gallery_media_81721141.avif
20,0.2488,36.8,10.1,736.0,0.5,0.3272,110184.0,0.3164,1,0,0,0,0,625600.0,https://www.mubawab-media.com/ad/8/281/782F/h/gallery_media%20%283%29_81739396.avif
1,0.3067,36.899,10.2358,280.0,0.5,0.4235,43985.0,0.2746,1,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/294/590F/h/terrain%20%C3%A0%20vendre_81870498.avif
1,0.3067,36.899,10.2358,575.0,0.5,0.4235,43985.0,0.2706,1,0,0,0,0,546250.0,https://www.mubawab-media.com/ad/8/287/907F/h/terrain%20%C3%A0%20vendre_81800252.avif
23,0.3826,36.819,10.2358,568.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,890000.0,nan
16,0.226,36.4561,10.7376,420.0,0.5,0.4454,154974.0,0.3124,1,0,0,0,0,500000.0,https://www.mubawab-media.com/ad/8/175/980F/h/affiche%20terrain2_80621688.avif
24,0.1687,36.819,10.2358,300000.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,850000.0,https://www.mubawab-media.com/ad/8/302/299F/h/240_F_24279776_Ixq3Jchs2Jkp7bV69QnQUdwlYBKWNSHW_81956159.avif
16,0.226,36.4561,10.7376,210.0,0.5,0.4454,154974.0,0.3116,1,0,0,0,0,250000.0,https://www.mubawab-media.com/ad/8/299/931F/h/panneau-terrain-a-vendre-rigide-330x200mm-4160559-009300590-product_zoom_81931919.avif
12,0.1135,36.8,10.1,174.0,0.5,0.1779,110184.0,0.2714,1,0,0,0,0,71000.0,https://www.mubawab-media.com/ad/8/302/062F/h/detail_81953814.avif
15,0.1223,36.8,10.1,189.0,0.5,0.2178,110184.0,0.3144,1,0,0,0,0,58000.0,https://www.mubawab-media.com/ad/8/186/969F/h/gallery%20%281%29_80733269.avif
15,0.1223,36.8,10.1,400.0,0.5,0.2178,110184.0,0.3132,1,0,0,0,0,107000.0,https://www.mubawab-media.com/ad/8/272/835F/h/gallery_81638545.avif
15,0.1223,36.8,10.1,580.0,0.5,0.2178,110184.0,0.3184,1,0,0,0,0,320000.0,https://www.mubawab-media.com/ad/8/186/744F/h/gallery_80731012.avif
1,0.3078,36.8665,10.1647,700.0,0.5,0.5305,43985.0,0.3124,1,0,0,0,0,315000.0,https://www.mubawab-media.com/ad/8/299/942F/h/627189698_122154860360954118_2283420627735359479_n_81931970.avif
23,0.3826,36.8769,10.3247,440.0,0.5,0.8015,2562.03,0.3152,2,0,0,0,0,1230000.0,https://www.mubawab-media.com/ad/8/269/463F/h/84fbc46a-628b-48b8-b817-a0f15b7e077a_GF_81603158.avif
16,0.0485,36.8,10.1,2368.0,0.5,0.2426,110184.0,0.3184,4,0,0,0,0,800000.0,https://www.mubawab-media.com/ad/8/277/068F/h/Sans%20titre_81684206.avif
13,0.0959,36.8,10.1,565.0,0.5,0.2476,110184.0,0.277,1,0,0,0,0,400000.0,https://www.mubawab-media.com/ad/8/229/019F/h/9dea7996-c0c5-48d3-bbb6-b2b6421eadb9_81166498.avif
20,0.1122,35.8245,10.6346,100.0,0.5,0.2902,150620.48,0.3152,1,0,0,0,0,200000.0,https://www.mubawab-media.com/ad/8/054/015F/h/YH57YZF3FBBEDM3QULAPRU7RIM_79398837.avif
16,0.0915,36.4561,10.7376,191.0,0.5,0.4552,154974.0,0.277,1,0,0,0,0,250000.0,https://www.mubawab-media.com/ad/8/304/643F/h/1000030635_81979333.avif
1,0.3067,36.899,10.2358,840.0,0.5,0.4235,43985.0,0.275,1,0,0,0,0,672000.0,https://www.mubawab-media.com/ad/8/304/573F/h/thumb_1279605_property_xlarge_81978749.avif
23,0.3826,36.8769,10.3247,467.0,0.5,0.8015,2562.03,0.3132,1,0,0,0,0,1120800.0,https://www.mubawab-media.com/ad/8/284/045F/h/thumb_1236610_property_xlarge_81760357.avif
23,1.0,36.8528,10.3247,539.0,0.5,0.5388,2562.03,0.2778,1,0,0,0,0,2250000.0,https://www.mubawab-media.com/ad/8/219/749F/h/gallery_81066982.avif
16,0.0915,36.819,10.2358,3300.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,14000000.0,nan
16,0.0915,36.819,10.2358,514.0,0.5,0.517,43985.0,0.3168,2,0,0,0,0,46260.0,nan
16,0.226,36.819,10.2358,973.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,950000.0,nan
16,0.226,36.819,10.2358,330.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,570000.0,nan
23,0.2657,36.819,10.2358,568.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,419000.0,nan
1,0.3067,36.899,10.2358,700.0,0.5,0.4235,43985.0,0.2718,1,0,0,0,0,700000.0,https://www.mubawab-media.com/ad/8/053/418F/h/img_1_1733767103520_79392914.avif
1,0.3067,36.819,10.2358,840.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,672000.0,nan
16,0.0915,36.819,10.2358,464.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,550000.0,nan
16,0.0915,36.819,10.2358,500.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,260000.0,nan
23,0.3826,36.8769,10.3247,2500.0,0.5,0.8015,2562.03,0.3176,4,0,0,0,0,4000000.0,https://www.mubawab-media.com/ad/7/944/357F/h/48c7e55d-1ea4-4a29-87c9-43760b0d2d0e_GF_77659673.avif
23,0.3826,36.8769,10.3247,1100.0,0.5,0.8015,2562.03,0.327,4,0,0,0,0,2500000.0,https://www.mubawab-media.com/ad/7/944/267F/h/7a6710cf-827f-4981-bb47-b770b0eacdae_GF_77652446.avif
16,0.226,36.819,10.2358,687.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,825000.0,nan
20,0.1122,35.8245,10.6346,270.0,0.5,0.2902,150620.48,0.2734,1,0,0,0,0,96250.0,https://www.mubawab-media.com/ad/8/284/370F/h/Capture%20d%E2%80%99%C3%A9cran%202026-01-09%20023611_81763410.avif
20,0.2072,35.8245,10.6346,3621.0,0.5,0.517,150620.48,0.2794,1,0,0,0,0,1086300.0,https://www.mubawab-media.com/ad/8/268/743F/h/%2B216%2055%2005%2005%2001_81595408.avif
20,0.2072,35.8245,10.6346,420.0,0.5,0.517,150620.48,0.2758,1,0,0,0,0,130000.0,https://www.mubawab-media.com/ad/8/247/982F/h/WhatsApp%20Image%202025-01-11%20%C3%A0%2014.04.07_33427cfe_81364795.avif
16,0.0385,36.8,10.1,193.0,0.5,0.2237,110184.0,0.3184,4,0,0,0,0,180000.0,https://www.mubawab-media.com/ad/8/242/274F/h/e1737666-1140-460d-8654-e2cf3f8547db_81305088.avif
16,0.0915,36.819,10.2358,135.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,145000.0,nan
1,0.3067,36.819,10.2358,400.0,0.5,0.517,43985.0,0.3168,1,0,0,0,0,500000.0,nan
23,0.2657,36.819,10.2358,568.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,419000.0,nan
23,0.1268,36.8,10.1,6583.0,0.5,0.1953,110184.0,0.3152,4,0,0,0,0,4279000.0,https://www.mubawab-media.com/ad/8/242/588F/h/photo_0_81307922.avif
3,0.3098,36.7533,10.2283,50000.0,0.5,0.1826,114262.5,0.2794,4,0,0,0,0,750000.0,https://www.mubawab-media.com/ad/8/186/314F/h/520295886_4056390647961315_1687146673221558911_n_80726982.avif
16,0.0915,36.4561,10.7376,505.0,0.5,0.4552,154974.0,0.3164,4,0,0,0,0,40400.0,https://www.mubawab-media.com/ad/8/122/449F/h/_MG_5802%20copy_80214380.avif
16,0.0485,36.8,10.1,3500.0,0.5,0.2426,110184.0,0.3196,4,0,0,0,0,850000.0,https://www.mubawab-media.com/ad/8/004/808F/h/87953837-2620-485e-9277-1cba30f5396e_81208167.avif
16,0.0485,36.8,10.1,800.0,0.5,0.2426,110184.0,0.3164,4,0,0,0,0,600000.0,https://www.mubawab-media.com/ad/8/189/466F/h/Visuel%20Agences%20K%C3%A9libia%20%282%29_81001092.avif
16,0.0915,36.4561,10.7376,307.0,0.5,0.4552,154974.0,0.2742,3,0,0,0,0,205680.0,https://www.mubawab-media.com/ad/8/275/683F/h/95e1d2c8-5e70-4015-ad89-19735eec2414_81668088.avif
16,0.0915,36.4561,10.7376,1383.0,0.5,0.4552,154974.0,0.2726,4,0,0,0,0,898950.0,https://www.mubawab-media.com/ad/8/274/326F/h/172b97cb-e11a-4bc8-891b-b49570ba0e37_81654425.avif
16,0.226,36.4561,10.7376,594.0,0.5,0.4454,154974.0,0.2722,3,0,0,0,0,150000.0,https://www.mubawab-media.com/ad/7/899/603F/h/437153327_3728532797392379_4615480056524427382_n_73454786.avif
