gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,prix,image_url,type_bien,type_transaction,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,has_cheminee
23.0,0.6867,36.819,10.1658,158.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4.0,0.0,675000.0,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,0.3533,36.899,10.2358,106.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3589,4.0,0.0,686653.0,https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462034.avif,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1.0,0.3533,36.899,10.2358,109.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3152,4.0,0.0,367000.0,https://www.mubawab-media.com/ad/8/180/401F/h/e4ee229c-3ddd-4485-99e4-4f5d8869b7af_6636d6a0-d58f-432a-aed7-42aced5760e6_80666392.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,136.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.312,4.0,0.0,430000.0,https://www.mubawab-media.com/ad/8/192/096F/h/e0a1c722-ed89-4176-989e-3a449d759690_81976609.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23.0,0.4,36.8769,10.3247,243.0,2.0,2.0,0.5,0.8015,2.0,2562.03,0.3112,2.0,0.0,1300000.0,https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019275_property_large_80531986.avif,1,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,297.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3152,4.0,0.0,1200000.0,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,1,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,110.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3152,4.0,0.0,395000.0,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,100.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2738,4.0,0.0,345000.0,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
23.0,0.6867,36.819,10.1658,52.0,3.0,1.0,0.5,0.5524,2.0,2562.03,0.3459,4.0,0.0,306000.0,https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104524_81739768.avif,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,79.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2976,4.0,0.0,312000.0,https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279280_property_xlarge_81979983.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
16.0,0.32,36.4561,10.7376,75.0,5.0,2.0,0.5,0.4552,2.0,154974.0,0.3168,4.0,0.0,450000.0,https://www.mubawab-media.com/ad/8/290/307F/h/2_81825534.avif,1,2,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0
1.0,0.332,36.8665,10.1647,53.0,2.0,1.0,0.5,0.247,2.0,43985.0,0.2782,4.0,0.0,199097.0,https://www.mubawab-media.com/ad/8/304/709F/h/salon%2002_81979948_81979964.avif,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
20.0,0.26,36.819,10.2358,1005.0,3.0,3.0,0.5,0.517,2.0,43985.0,0.3168,2.0,0.0,6300000.0,https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33_81979107.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,0.332,36.8665,10.1647,90.0,4.0,3.0,0.5,0.247,2.0,43985.0,0.277,4.0,0.0,145000.0,https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%281%29_81979674.avif,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,0.6867,36.819,10.1658,153.0,3.0,4.0,0.5,0.5524,2.0,2562.03,0.2887,4.0,0.0,650000.0,https://www.mubawab-media.com/ad/8/304/579F/h/photo_00_81978854.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
8.0,0.1422,35.6781,10.0963,105.0,3.0,2.0,0.5,0.2424,2.0,178346.92,0.2802,4.0,0.0,248841.0,https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_81a4a372_81461045.avif,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.3533,36.899,10.2358,116.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3132,4.0,0.0,460000.0,https://www.mubawab-media.com/ad/8/271/996F/h/salon_81629754.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,190.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.2984,4.0,0.0,850000.0,https://www.mubawab-media.com/ad/8/238/717F/h/jardin_81269437.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1.0,0.3533,36.899,10.2358,68.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2758,4.0,0.0,296000.0,https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208457_property_xlarge_81427437.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1.0,0.3533,36.899,10.2358,125.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3104,4.0,0.0,475000.0,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,214.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3156,4.0,0.0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
3.0,0.32,36.8,10.1,104.0,3.0,2.0,0.5,0.2195,2.0,110184.0,0.3156,4.0,0.0,329000.0,https://www.mubawab-media.com/ad/8/111/785F/h/01%20%281%29_79962344_79962354.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
23.0,0.6867,36.819,10.2358,115.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4.0,0.0,635000.0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,68.0,2.0,1.0,0.5,0.8015,2.0,2562.03,0.3318,4.0,0.0,390000.0,https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0
1.0,0.3533,36.899,10.2358,104.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3156,4.0,0.0,584517.0,https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462126.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
23.0,0.4,36.8769,10.3247,297.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3152,4.0,0.0,1200000.0,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,1,2,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0
1.0,0.3533,36.899,10.2358,110.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3152,4.0,0.0,395000.0,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
1.0,0.3533,36.899,10.2358,100.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2738,4.0,0.0,345000.0,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
1.0,0.32,36.8665,10.1647,128.0,2.0,1.0,0.5,0.5305,2.0,43985.0,0.3132,4.0,0.0,285000.0,https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278820_property_large_81967755.avif,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,123.0,1.0,2.0,0.5,0.8015,2.0,2562.03,0.3234,4.0,0.0,550000.0,https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224436_property_large_81609791.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23.0,0.4,36.8769,10.3247,172.0,1.0,4.0,0.5,0.8015,2.0,2562.03,0.3116,4.0,0.0,650000.0,https://www.mubawab-media.com/ad/8/236/144F/h/thumb_1186202_property_large_81242749.avif,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23.0,0.6867,36.819,10.1658,201.0,4.0,3.0,0.5,0.5524,2.0,2562.03,0.3345,4.0,0.0,980000.0,https://www.mubawab-media.com/ad/8/276/869F/h/l1_81681748.avif,1,2,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
23.0,0.6867,36.819,10.1658,231.0,5.0,4.0,0.5,0.5524,2.0,2562.03,0.3403,1.0,0.0,980000.0,https://www.mubawab-media.com/ad/8/177/834F/h/thumb_1182702_property_big_81417350.avif,1,2,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1.0,0.32,36.8665,10.1647,174.0,5.0,4.0,0.5,0.5305,2.0,43985.0,0.3573,4.0,0.0,500000.0,https://www.mubawab-media.com/ad/8/303/115F/h/thumb_1278522_property_large_81964458.avif,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
23.0,0.4,36.8769,10.3247,138.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3136,4.0,0.0,394000.0,https://www.mubawab-media.com/ad/8/084/903F/h/logo1_81960382.avif,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,136.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3362,4.0,0.0,430000.0,https://www.mubawab-media.com/ad/8/289/614F/h/SALON%20%283%29_81818091.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23.0,0.4,36.8769,10.3247,90.0,2.0,2.0,0.5,0.8015,2.0,2562.03,0.3184,4.0,0.0,275000.0,https://www.mubawab-media.com/ad/8/277/097F/h/thumb_1232208_property_large_81684435.avif,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
8.0,0.1422,35.6781,10.0963,95.0,3.0,2.0,0.5,0.2424,2.0,178346.92,0.2802,4.0,0.0,223532.0,https://www.mubawab-media.com/ad/8/255/537F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_9d2597ab_81460919.avif,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.32,36.8665,10.1647,140.0,4.0,3.0,0.5,0.5305,2.0,43985.0,0.3037,4.0,0.0,380000.0,https://www.mubawab-media.com/ad/8/304/393F/h/fal02%20%281%29_81977459.avif,1,2,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1.0,0.32,36.8665,10.1647,150.0,3.0,3.0,0.5,0.5305,2.0,43985.0,0.2738,4.0,0.0,450000.0,https://www.mubawab-media.com/ad/8/287/221F/h/thumb_1240521_property_large_81793021.avif,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1.0,0.32,36.8665,10.1647,158.0,4.0,3.0,0.5,0.5305,2.0,43985.0,0.3192,4.0,0.0,400000.0,https://www.mubawab-media.com/ad/8/304/376F/h/APP%20A6%20IMM%20NOUR%20P0_81977274.avif,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
16.0,0.32,36.4561,10.7376,45.0,2.0,1.0,0.5,0.4552,2.0,154974.0,0.275,4.0,0.0,248000.0,https://www.mubawab-media.com/ad/8/297/962F/h/b6cec4a0-1b96-4dfb-bec8-4bfb7e2f6630_81909358.avif,1,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
23.0,0.092,36.8,10.1,100.0,3.0,2.0,0.5,0.3155,2.0,110184.0,0.3144,4.0,0.0,135000.0,https://www.mubawab-media.com/ad/8/304/367F/h/1_81977174.avif,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.3533,36.899,10.2358,214.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3156,4.0,0.0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,104.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.2746,4.0,0.0,530000.0,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1.0,0.3533,36.899,10.2358,150.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3152,4.0,0.0,630000.0,https://www.mubawab-media.com/ad/7/997/821F/h/thumb_921207_property_xlarge_79013324.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
3.0,0.32,36.8,10.1,120.0,3.0,2.0,0.5,0.2195,2.0,110184.0,0.3152,4.0,0.0,380000.0,https://www.mubawab-media.com/ad/8/111/786F/h/03%20%281%29_79962346_79962359.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
20.0,0.3333,35.8245,10.6346,95.0,3.0,2.0,0.5,0.2902,2.0,150620.48,0.3085,4.0,0.0,250000.0,https://www.mubawab-media.com/ad/8/287/936F/h/WhatsApp%20Image%202026-01-13%20at%2016.25.03%20%287%29_81800522.avif,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23.0,0.6867,36.819,10.2358,115.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4.0,0.0,419000.0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,119.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3302,4.0,0.0,605000.0,https://www.mubawab-media.com/ad/7/903/087F/h/VUE%206_44687753_73907093.avif,1,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0
1.0,0.3533,36.899,10.2358,129.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3144,4.0,0.0,817920.0,https://www.mubawab-media.com/ad/8/257/527F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_41e372a0_81462149.avif,1,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
23.0,0.6867,36.819,10.1658,65.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.3273,4.0,0.0,370000.0,https://www.mubawab-media.com/ad/7/907/104F/h/Capture%20d%27%C3%A9cran%202025-12-22%20114548_81739644.avif,1,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
20.0,0.3067,36.8,10.1,145.0,1.0,3.0,0.5,0.3807,2.0,110184.0,0.2794,4.0,0.0,280000.0,https://www.mubawab-media.com/ad/8/301/465F/h/1_81947454.avif,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,121.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2762,4.0,0.0,340000.0,https://www.mubawab-media.com/ad/8/283/657F/h/589988999_1999865923923607_4049922561364588805_n_81756299.avif,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,0.4,36.8769,10.3247,130.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3116,4.0,0.0,360000.0,https://www.mubawab-media.com/ad/8/295/248F/h/a487ad88-4922-404a-972d-4a15b88b6f78_81880231.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,136.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2762,4.0,0.0,420000.0,https://www.mubawab-media.com/ad/8/283/678F/h/577879951_1924173805196498_8839649052349571021_n_81756479.avif,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16.0,0.2833,36.4561,10.7376,62.0,2.0,2.0,0.5,0.4454,2.0,154974.0,0.3124,4.0,0.0,255000.0,https://www.mubawab-media.com/ad/8/294/092F/h/thumb_1268309_property_xlarge_81865127.avif,1,2,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
20.0,0.3067,35.8604,10.5953,100.0,1.0,3.0,0.5,0.3642,2.0,150620.48,0.3132,4.0,0.0,400000.0,https://www.mubawab-media.com/ad/8/301/994F/h/WhatsApp%20Image%202026-02-11%20at%2018.26.20_81953007.avif,1,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
16.0,0.13,36.8,10.1,130.0,4.0,3.0,0.5,0.2426,2.0,110184.0,0.316,4.0,0.0,310000.0,https://www.mubawab-media.com/ad/8/268/818F/h/gallery%20%281%29_81596168.avif,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
23.0,0.32,36.844,10.192,140.0,4.0,3.0,0.5,0.3403,2.0,43985.0,0.2738,4.0,0.0,310000.0,https://www.mubawab-media.com/ad/8/003/736F/h/20240925_103533_78898410.avif,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,0.6867,36.819,10.1658,134.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3467,4.0,0.0,674000.0,https://www.mubawab-media.com/ad/8/286/498F/h/photo_00_81785363.avif,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,0.092,36.8,10.1,100.0,3.0,2.0,0.5,0.3155,2.0,110184.0,0.3144,4.0,0.0,135000.0,https://www.mubawab-media.com/ad/8/304/367F/h/1_81977174.avif,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,110.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2694,4.0,0.0,375000.0,https://www.mubawab-media.com/ad/8/218/716F/h/gallery_81056240.avif,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,106.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2694,4.0,0.0,250000.0,https://www.mubawab-media.com/ad/8/262/776F/h/gallery_81526310.avif,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,0.6867,36.819,10.1658,112.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,1.0,0.0,590478.0,https://www.mubawab-media.com/ad/8/271/216F/h/gallery_81621523.avif,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.0,0.6867,36.819,10.1658,128.0,3.0,3.0,0.5,0.5524,2.0,2562.03,0.2694,1.0,0.0,539994.0,https://www.mubawab-media.com/ad/8/271/217F/h/gallery_81621524.avif,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.0,0.6867,36.819,10.1658,62.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.2694,1.0,0.0,260778.0,https://www.mubawab-media.com/ad/8/271/219F/h/gallery_81621526.avif,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.0,0.092,36.8,10.1,80.0,3.0,2.0,0.5,0.3155,2.0,110184.0,0.3144,4.0,0.0,160000.0,https://www.mubawab-media.com/ad/8/304/169F/h/1_81975066.avif,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,126.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2762,4.0,0.0,310000.0,https://www.mubawab-media.com/ad/8/283/801F/h/553813120_4272564002963768_1771023649762954099_n_81794114.avif,1,2,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
23.0,0.4,36.8769,10.3247,138.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2782,4.0,0.0,394000.0,https://www.mubawab-media.com/ad/8/287/205F/h/550470467_2290440904736990_8862465445398018373_n_81792884.avif,1,2,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
3.0,0.32,36.8,10.1,103.0,3.0,2.0,0.5,0.2195,2.0,110184.0,0.2762,4.0,0.0,326000.0,https://www.mubawab-media.com/ad/8/111/787F/h/02%20%281%29_79962345_79962361.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
20.0,0.3333,35.8245,10.6346,95.0,3.0,2.0,0.5,0.2902,2.0,150620.48,0.3085,4.0,0.0,250000.0,https://www.mubawab-media.com/ad/8/287/936F/h/WhatsApp%20Image%202026-01-13%20at%2016.25.03%20%287%29_81800522.avif,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20.0,0.3333,35.8245,10.6346,134.0,4.0,3.0,0.5,0.2902,2.0,150620.48,0.3317,4.0,0.0,220000.0,https://www.mubawab-media.com/ad/8/287/935F/h/WhatsApp%20Image%202026-01-16%20at%2009.45.40%20%283%29_81800512.avif,1,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
23.0,0.6867,36.819,10.1658,90.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4.0,0.0,530000.0,https://www.mubawab-media.com/ad/8/299/575F/h/gallery_81928561.avif,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
23.0,0.6867,36.819,10.1658,223.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2714,4.0,0.0,1800000.0,https://www.mubawab-media.com/ad/8/298/722F/h/gallery_81919804.avif,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23.0,0.6867,36.819,10.1658,145.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4.0,0.0,550000.0,https://www.mubawab-media.com/ad/8/294/505F/h/gallery_81869658.avif,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
23.0,0.4,36.819,10.2358,115.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4.0,0.0,240000.0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,0.4,36.8769,10.3247,122.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3302,2.0,0.0,850000.0,https://www.mubawab-media.com/ad/7/909/493F/h/VUE%202_74821761.avif,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
1.0,0.3533,36.899,10.2358,105.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.316,4.0,0.0,672341.0,https://www.mubawab-media.com/ad/8/257/532F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_e154bac4_81462182.avif,1,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
23.0,0.4,36.8769,10.3247,160.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.324,4.0,0.0,330000.0,https://www.mubawab-media.com/ad/8/285/892F/h/photo_00_81779006.avif,1,2,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
