gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,prix,image_url,images,type_bien,type_transaction,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,has_cheminee,etat_score,etat_prob_renove,standing_score,standing_prob_luxe
1,0.2335,36.899,10.2358,106.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3589,4,0,686653.0,https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462034.avif,https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462034.avif | https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_41e372a0_81462035.avif | https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_cd29713e_81462036.avif | https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_e154bac4_81462037.avif,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.508,3,0.3441
1,0.2335,36.899,10.2358,109.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3152,4,0,367000.0,https://www.mubawab-media.com/ad/8/180/401F/h/e4ee229c-3ddd-4485-99e4-4f5d8869b7af_6636d6a0-d58f-432a-aed7-42aced5760e6_80666392.avif,https://www.mubawab-media.com/ad/8/180/401F/h/e4ee229c-3ddd-4485-99e4-4f5d8869b7af_6636d6a0-d58f-432a-aed7-42aced5760e6_80666392.avif | https://www.mubawab-media.com/ad/8/180/401F/h/4bbdf039-ce16-4405-a596-500503586917_150693cb-102c-441f-9fb8-92ab3a087cba_80666393.avif | https://www.mubawab-media.com/ad/8/180/401F/h/65d7db96-a94e-4075-a825-f72857f0f741_3d5ef522-238c-4fb6-9c61-856e4b4f0e98_80666394.avif | https://www.mubawab-media.com/ad/8/180/401F/h/83e1e4aa-297f-44db-8522-af558be1f5f8_48ef633f-5bde-400b-89aa-c9b0e1af72c4_80666395.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.6624,3,0.3658
1,0.2335,36.899,10.2358,136.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.312,4,0,430000.0,https://www.mubawab-media.com/ad/8/192/096F/h/e0a1c722-ed89-4176-989e-3a449d759690_81976609.avif,https://www.mubawab-media.com/ad/8/192/096F/h/e0a1c722-ed89-4176-989e-3a449d759690_81976609.avif | https://www.mubawab-media.com/ad/8/192/096F/h/5f699f95-fa1d-4dfa-9389-e354473ca279_81976610.avif | https://www.mubawab-media.com/ad/8/192/096F/h/7c0b3794-9628-465d-91d1-9334ce91f723_81976611.avif | https://www.mubawab-media.com/ad/8/192/096F/h/7f5da5b8-3c87-41c9-8bce-9142443f7a17_81976612.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.6841,3,0.3647
23,0.0025,36.8769,10.3247,243.0,2.0,2.0,0.5,0.8015,2.0,2562.03,0.3112,2,0,1300000.0,https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019275_property_large_80531986.avif,https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019275_property_large_80531986.avif | https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019287_property_large_80531987.avif,1,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0.6375,2,0.3577
23,0.0025,36.8769,10.3247,297.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3152,4,0,1200000.0,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150623_property_large_80906259.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150626_property_large_80906260.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1143711_property_xlarge_81282248.avif,1,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.6467,3,0.3861
1,0.2335,36.899,10.2358,110.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3152,4,0,395000.0,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03_81754906.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02_81754907.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02%20%282%29_81754908.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.6189,3,0.3871
1,0.2335,36.899,10.2358,100.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2738,4,0,345000.0,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2811%29_81829680.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2810%29_81829681.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%289%29_81829682.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.6068,3,0.3794
23,0.0017,36.819,10.1658,52.0,3.0,1.0,0.5,0.5524,2.0,2562.03,0.3459,4,0,306000.0,https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104524_81739768.avif,https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104524_81739768.avif | https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104546_81739769.avif | https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104501_81739770.avif | https://www.mubawab-media.com/ad/7/907/095F/h/Cam01%20Finale8K%20%281%29_81739771.avif,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5232,3,0.3575
1,0.2335,36.899,10.2358,79.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2976,4,0,312000.0,https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279280_property_xlarge_81979983.avif,https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279280_property_xlarge_81979983.avif | https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279281_property_xlarge_81979984.avif | https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279283_property_xlarge_81979985.avif | https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279286_property_xlarge_81979986.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.7412,2,0.3691
16,0.1999,36.4561,10.7376,75.0,5.0,2.0,0.5,0.4552,2.0,154974.0,0.3168,4,0,450000.0,https://www.mubawab-media.com/ad/8/290/307F/h/2_81825534.avif,https://www.mubawab-media.com/ad/8/290/307F/h/2_81825534.avif | https://www.mubawab-media.com/ad/8/290/307F/h/1_81825533.avif | https://www.mubawab-media.com/ad/8/290/307F/h/3_81825535.avif | https://www.mubawab-media.com/ad/8/290/307F/h/4_81825536.avif,1,2,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0.6119,2,0.3578
1,0.3029,36.8665,10.1647,53.0,2.0,1.0,0.5,0.247,2.0,43985.0,0.2782,4,0,199097.0,https://www.mubawab-media.com/ad/8/304/709F/h/salon%2002_81979948_81979964.avif,https://www.mubawab-media.com/ad/8/304/709F/h/salon%2002_81979948_81979964.avif | https://www.mubawab-media.com/ad/8/304/709F/h/SDB%2001_81979949_81979965.avif | https://www.mubawab-media.com/ad/8/304/709F/h/salon%2003_81979950_81979966.avif | https://www.mubawab-media.com/ad/8/304/709F/h/salon%2003%20s%20a_81979951_81979967.avif,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.6966,2,0.3712
20,0.155,36.844,10.3247,1005.0,3.0,3.0,0.5,0.5305,2.0,2562.03,0.3176,2,0,6300000.0,https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33_81979107.avif,https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33_81979107.avif | https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33%20%281%29_81979108.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5292,2,0.3399
1,0.3029,36.8665,10.1647,90.0,4.0,3.0,0.5,0.247,2.0,43985.0,0.277,4,0,145000.0,https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%281%29_81979674.avif,https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%281%29_81979674.avif | https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%282%29_81979675.avif | https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.12.10%20%282%29_81979676.avif | https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.12.11%20%281%29_81979677.avif,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6388,2,0.3152
23,0.0017,36.819,10.1658,153.0,3.0,4.0,0.5,0.5524,2.0,2562.03,0.2887,4,0,650000.0,https://www.mubawab-media.com/ad/8/304/579F/h/photo_00_81978854.avif,https://www.mubawab-media.com/ad/8/304/579F/h/photo_00_81978854.avif | https://www.mubawab-media.com/ad/8/304/579F/h/photo_01_81978855.avif | https://www.mubawab-media.com/ad/8/304/579F/h/photo_02_81978856.avif | https://www.mubawab-media.com/ad/8/304/579F/h/photo_03_81978857.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0.5672,2,0.3253
8,0.2105,35.6781,10.0963,105.0,3.0,2.0,0.5,0.2424,2.0,178346.92,0.2802,4,0,248841.0,https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_81a4a372_81461045.avif,https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_81a4a372_81461045.avif | https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-04%20%C3%A0%2012.37.23_f7de1354_81442363.avif | https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-06%20%C3%A0%2013.42.49_6419ae1f_81442364.avif | https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-12%20%C3%A0%2009.37.20_911c595b_81442365.avif,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5412,3,0.3611
1,0.2335,36.899,10.2358,116.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3132,4,0,460000.0,https://www.mubawab-media.com/ad/8/271/996F/h/salon_81629754.avif,https://www.mubawab-media.com/ad/8/271/996F/h/salon_81629754.avif | https://www.mubawab-media.com/ad/8/271/996F/h/sal_81629755.avif | https://www.mubawab-media.com/ad/8/271/996F/h/cuis_81629756.avif | https://www.mubawab-media.com/ad/8/271/996F/h/chambre_81629757.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.7359,2,0.3591
1,0.2335,36.899,10.2358,190.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.2984,4,0,850000.0,https://www.mubawab-media.com/ad/8/238/717F/h/jardin_81269437.avif,https://www.mubawab-media.com/ad/8/238/717F/h/jardin_81269437.avif | https://www.mubawab-media.com/ad/8/238/717F/h/piscine_81269434.avif | https://www.mubawab-media.com/ad/8/238/717F/h/salle%20de%20sport_81269440.avif | https://www.mubawab-media.com/ad/8/238/717F/h/asenceur_81269438.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.5405,3,0.3544
1,0.2335,36.899,10.2358,68.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2758,4,0,296000.0,https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208457_property_xlarge_81427437.avif,https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208457_property_xlarge_81427437.avif | https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208458_property_xlarge_81427438.avif | https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208459_property_xlarge_81427439.avif | https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208460_property_xlarge_81427440.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.5282,3,0.3524
1,0.2335,36.899,10.2358,125.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3104,4,0,475000.0,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153490_property_xlarge_80949737.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153498_property_xlarge_80949738.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153496_property_xlarge_80949739.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5517,3,0.3524
1,0.2335,36.899,10.2358,214.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901244_property_xlarge_78820312.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901236_property_xlarge_78820313.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901228_property_xlarge_78820317.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.6395,3,0.3743
23,0.0017,36.844,10.3247,121.0,3.0,2.0,0.5,0.5305,2.0,2562.03,0.3176,4,0,635000.0,,https://www.mubawab-media.com/promotion/4/543F/pictures/h/DSC03181_81608780.avif | https://www.mubawab-media.com/promotion/4/543F/pictures/h/DSC03169_81608785.avif | https://www.mubawab-media.com/promotion/4/543F/pictures/h/34_81608782.avif | https://www.mubawab-media.com/promotion/4/543F/pictures/h/DSC03166_81608786.avif,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4729,1,0.3207
23,0.0025,36.8769,10.3247,68.0,2.0,1.0,0.5,0.8015,2.0,2562.03,0.3318,4,0,390000.0,https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif,https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif | https://www.mubawab-media.com/ad/7/903/086F/h/VUE%202_44687754_73907089.avif | https://www.mubawab-media.com/ad/7/903/086F/h/VUE%203_44690511_73907090.avif | https://www.mubawab-media.com/ad/7/903/086F/h/VUE%205_44690512_73907091.avif,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0.5282,3,0.3618
1,0.2335,36.899,10.2358,104.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,584517.0,https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462126.avif,https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462126.avif | https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_41e372a0_81462127.avif | https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_cd29713e_81462128.avif | https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_e154bac4_81462129.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0.508,3,0.3441
23,0.0025,36.8769,10.3247,297.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3152,4,0,1200000.0,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150623_property_large_80906259.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150626_property_large_80906260.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1143711_property_xlarge_81282248.avif,1,2,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0.6467,3,0.3861
1,0.2335,36.899,10.2358,110.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3152,4,0,395000.0,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03_81754906.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02_81754907.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02%20%282%29_81754908.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0.6189,3,0.3871
1,0.2335,36.899,10.2358,100.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2738,4,0,345000.0,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2811%29_81829680.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2810%29_81829681.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%289%29_81829682.avif,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0.6068,3,0.3794
1,0.2542,36.8665,10.1647,128.0,2.0,1.0,0.5,0.5305,2.0,43985.0,0.3132,4,0,285000.0,https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278820_property_large_81967755.avif,https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278820_property_large_81967755.avif | https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278821_property_large_81967756.avif | https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278816_property_large_81967757.avif | https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278819_property_large_81967758.avif,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0.6599,2,0.3315
