gouvernorat_enc,ville_enc,quartier_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,nb_sdb,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,prix,image_url,images,type_bien,type_transaction,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,has_cheminee
16,0.5202,0.2279,36.4561,10.7376,75.0,5.0,2.0,1,0.5,0.4552,2.0,154974.0,0.3168,4,0,450000.0,https://www.mubawab-media.com/ad/8/290/307F/h/2_81825534.avif,https://www.mubawab-media.com/ad/8/290/307F/h/2_81825534.avif | https://www.mubawab-media.com/ad/8/290/307F/h/1_81825533.avif | https://www.mubawab-media.com/ad/8/290/307F/h/3_81825535.avif | https://www.mubawab-media.com/ad/8/290/307F/h/4_81825536.avif,1,2,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0
1,0.3348,0.1772,36.8665,10.1647,53.0,2.0,1.0,1,0.5,0.247,2.0,43985.0,0.2782,4,0,199097.0,https://www.mubawab-media.com/ad/8/304/709F/h/salon%2002_81979948_81979964.avif,https://www.mubawab-media.com/ad/8/304/709F/h/salon%2002_81979948_81979964.avif | https://www.mubawab-media.com/ad/8/304/709F/h/SDB%2001_81979949_81979965.avif | https://www.mubawab-media.com/ad/8/304/709F/h/salon%2003_81979950_81979966.avif | https://www.mubawab-media.com/ad/8/304/709F/h/salon%2003%20s%20a_81979951_81979967.avif,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
20,0.2714,0.136,36.844,10.3247,1005.0,3.0,3.0,1,0.5,0.5305,2.0,2562.03,0.3176,2,0,6300000.0,https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33_81979107.avif,https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33_81979107.avif | https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33%20%281%29_81979108.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0.3348,0.0193,36.8665,10.1647,90.0,4.0,3.0,0,0.5,0.247,2.0,43985.0,0.277,4,0,145000.0,https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%281%29_81979674.avif,https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%281%29_81979674.avif | https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%282%29_81979675.avif | https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.12.10%20%282%29_81979676.avif | https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.12.11%20%281%29_81979677.avif,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.9835,0.4514,36.819,10.1658,153.0,3.0,4.0,0,0.5,0.5524,2.0,2562.03,0.2887,4,0,650000.0,https://www.mubawab-media.com/ad/8/304/579F/h/photo_00_81978854.avif,https://www.mubawab-media.com/ad/8/304/579F/h/photo_00_81978854.avif | https://www.mubawab-media.com/ad/8/304/579F/h/photo_01_81978855.avif | https://www.mubawab-media.com/ad/8/304/579F/h/photo_02_81978856.avif | https://www.mubawab-media.com/ad/8/304/579F/h/photo_03_81978857.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
8,0.0016,0.0415,35.6781,10.0963,105.0,3.0,2.0,1,0.5,0.2424,2.0,178346.92,0.2802,4,0,248841.0,https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_81a4a372_81461045.avif,https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_81a4a372_81461045.avif | https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-04%20%C3%A0%2012.37.23_f7de1354_81442363.avif | https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-06%20%C3%A0%2013.42.49_6419ae1f_81442364.avif | https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-12%20%C3%A0%2009.37.20_911c595b_81442365.avif,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.447,0.2577,36.899,10.2358,116.0,3.0,2.0,1,0.5,0.4235,2.0,43985.0,0.3132,4,0,460000.0,https://www.mubawab-media.com/ad/8/271/996F/h/salon_81629754.avif,https://www.mubawab-media.com/ad/8/271/996F/h/salon_81629754.avif | https://www.mubawab-media.com/ad/8/271/996F/h/sal_81629755.avif | https://www.mubawab-media.com/ad/8/271/996F/h/cuis_81629756.avif | https://www.mubawab-media.com/ad/8/271/996F/h/chambre_81629757.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2577,36.899,10.2358,190.0,4.0,3.0,0,0.5,0.4235,2.0,43985.0,0.2984,4,0,850000.0,https://www.mubawab-media.com/ad/8/238/717F/h/jardin_81269437.avif,https://www.mubawab-media.com/ad/8/238/717F/h/jardin_81269437.avif | https://www.mubawab-media.com/ad/8/238/717F/h/piscine_81269434.avif | https://www.mubawab-media.com/ad/8/238/717F/h/salle%20de%20sport_81269440.avif | https://www.mubawab-media.com/ad/8/238/717F/h/asenceur_81269438.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0.447,0.2139,36.899,10.2358,68.0,2.0,1.0,1,0.5,0.4235,2.0,43985.0,0.2758,4,0,296000.0,https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208457_property_xlarge_81427437.avif,https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208457_property_xlarge_81427437.avif | https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208458_property_xlarge_81427438.avif | https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208459_property_xlarge_81427439.avif | https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208460_property_xlarge_81427440.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0.447,0.2577,36.899,10.2358,125.0,3.0,2.0,0,0.5,0.4235,2.0,43985.0,0.3104,4,0,475000.0,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153490_property_xlarge_80949737.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153498_property_xlarge_80949738.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153496_property_xlarge_80949739.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2577,36.899,10.2358,214.0,4.0,3.0,0,0.5,0.4235,2.0,43985.0,0.3156,4,0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901244_property_xlarge_78820312.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901236_property_xlarge_78820313.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901228_property_xlarge_78820317.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
23,0.9835,0.4514,36.844,10.3247,121.0,3.0,2.0,0,0.5,0.5305,2.0,2562.03,0.3176,4,0,635000.0,nan,https://www.mubawab-media.com/promotion/4/543F/pictures/h/DSC03181_81608780.avif | https://www.mubawab-media.com/promotion/4/543F/pictures/h/DSC03169_81608785.avif | https://www.mubawab-media.com/promotion/4/543F/pictures/h/34_81608782.avif | https://www.mubawab-media.com/promotion/4/543F/pictures/h/DSC03166_81608786.avif,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.6177,0.4116,36.8769,10.3247,68.0,2.0,1.0,1,0.5,0.8015,2.0,2562.03,0.3318,4,0,390000.0,https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif,https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif | https://www.mubawab-media.com/ad/7/903/086F/h/VUE%202_44687754_73907089.avif | https://www.mubawab-media.com/ad/7/903/086F/h/VUE%203_44690511_73907090.avif | https://www.mubawab-media.com/ad/7/903/086F/h/VUE%205_44690512_73907091.avif,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0
1,0.447,0.2577,36.899,10.2358,104.0,3.0,2.0,0,0.5,0.4235,2.0,43985.0,0.3156,4,0,584517.0,https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462126.avif,https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462126.avif | https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_41e372a0_81462127.avif | https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_cd29713e_81462128.avif | https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_e154bac4_81462129.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
23,0.6177,0.8288,36.8769,10.3247,297.0,4.0,3.0,0,0.5,0.8015,2.0,2562.03,0.3152,4,0,1200000.0,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150623_property_large_80906259.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150626_property_large_80906260.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1143711_property_xlarge_81282248.avif,1,2,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0
1,0.447,0.2139,36.899,10.2358,110.0,3.0,2.0,1,0.5,0.4235,2.0,43985.0,0.3152,4,0,395000.0,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03_81754906.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02_81754907.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02%20%282%29_81754908.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
1,0.447,0.2139,36.899,10.2358,100.0,2.0,1.0,1,0.5,0.4235,2.0,43985.0,0.2738,4,0,345000.0,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2811%29_81829680.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2810%29_81829681.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%289%29_81829682.avif,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
1,0.3616,0.203,36.8665,10.1647,128.0,2.0,1.0,1,0.5,0.5305,2.0,43985.0,0.3132,4,0,285000.0,https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278820_property_large_81967755.avif,https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278820_property_large_81967755.avif | https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278821_property_large_81967756.avif | https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278816_property_large_81967757.avif | https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278819_property_large_81967758.avif,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
23,0.6177,0.6947,36.8769,10.3247,123.0,1.0,2.0,0,0.5,0.8015,2.0,2562.03,0.3234,4,0,550000.0,https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224436_property_large_81609791.avif,https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224436_property_large_81609791.avif | https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224433_property_large_81609788.avif | https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224434_property_large_81609789.avif | https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224435_property_large_81609790.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
