id,type_annonce,type_bien,description,prix_affiche,devise,ville,gouvernorat,localisation_complete,image_url
26113044671653775,Location,Autre,450 TND 500 TND منزل للكراء بمنطقه الزهروني 100 م على محطه القطار,450 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/615117003_2631972457177899_2714511639708692304_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=92e707&_nc_ohc=wVhTIiHgwRAQ7kNvwHaURKT&_nc_oc=AdklyP5qRDi1wKPK-8qEgOtKXVWAY7BDJZPzP0aocYnpNw-oN5Ug9DE86kMyON_e-vM&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfsFrTQiHfPgj_mD7b2E95iovbdU_9EjyHk1c8k-NWEXwA&oe=699962C5
726079646787109,Location,Local Commercial,2 500 TND Local commercial à louer au jardin de Carthage Le Kram,2 500 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/604238459_1606962707392808_505254092794028653_n.jpg?stp=c0.31.261.261a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=92e707&_nc_ohc=dSxoSlYh1bMQ7kNvwEkhPVO&_nc_oc=AdlmI6vCEs31-o-FboZfnBpoyNXp8-2qRTDIR_0gvD0_e1S3tXcITWA9SNLuTsGZyL8&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfubYawpt0kIrqSBHwh57GQjfe0r87e79A4LkoZsJzXaoQ&oe=699959E2
2261061931000411,Location,Autre,400 TND محل للكراء في المروج 2 25125153 Tunis,400 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/571179539_4295493997443424_4275729959513132656_n.jpg?stp=c688.0.1184.1184a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=zNb0AmJr-lMQ7kNvwGMU440&_nc_oc=AdmmCdCDaWEa_-HEs3xMlo0d1M0qkVTUFIDBpHGVnPwIrJ_i4PHiG0VZJ0SocvhHOYk&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfvLS3_kLx6LG20F2VrjVG_pmUQF4CyBnDsZUvych6Q51Q&oe=699968AB
1116647493710891,Location,Autre,1 900 TND dépôt 240m carré Tunis,1 900 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/613109769_122115991557133336_3454371600839103542_n.jpg?stp=c126.0.768.768a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ZtI8LG8czmAQ7kNvwFiv1la&_nc_oc=AdlzZLI_DeXPfRHYV0pT9RUWb_cjqw8zwqL2lSDwZGIcUftCTHou5nVM5XLzP1B4hAk&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Aft1_vKHpPwpqJe9ovtKOgH35iVYjSVaR4ANArEEIJcOgg&oe=69993A01
2430215127431684,Location,Autre,750 TND A louer Tunis,750 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/636653218_4271392679743553_5220222100161429989_n.jpg?stp=c0.145.560.560a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=aTzEqxcujfQQ7kNvwFD1Tfc&_nc_oc=AdmCLqw1PIyMgx-C8S8lNXR7qbOIsg3M-_FPZTL99KAh0la6heutITVap96ipJ4Ye2A&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfufOAFND2O6iGCvUXtZDbwI_ByFqsaX8yY5oTs_MvXXjg&oe=699953CC
1874893786545677,Location,Appartement S+2,Gratuit للبيع: شقة S+2 في إقامة راقية 📍 المنطقة السياحية بالحمّامات الجنوبية قريبة من نزل Latino و Regency Hammamet,,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/615172323_900595015818825_6541431111084098309_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=92e707&_nc_ohc=D-sY0EV1ke8Q7kNvwE79yVy&_nc_oc=Admofknb_9PnnHY3h_AOZqLmNvxCGO0ljL__ks324CshiBzYd2xjMuIaHHDkhz6gpWY&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfvwiEoI7FtrGMS67kYi8C0N6Srk1aIhvMj9U2PSzOtTHA&oe=69994BF2
880953304916226,Location,Autre,2 200 TND Gammarth Gammarth,2 200 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/618875540_884518977525997_9193211084388563679_n.jpg?stp=c160.0.960.960a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=b6MIp2Hd8IoQ7kNvwFnb_kC&_nc_oc=AdmiFovz42u80iv6KYSVwDXjGay8mhcSRp-1oDywV8SgnNYgHvxR5IO-gshLh87cGMs&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfuQRndWp3FGMD_thdh918RTTc5-E1Fg3VwFm6lSMbTFnw&oe=699955C0
1729157931395127,Location,Appartement S+2,800 TND A louer S2 au jardin El menzah 2 Ettadhamen Mnihla,800 TND,TND,El menzah,Tunisie,"El menzah, Tunisie",https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/627232431_1355158263317455_4288290429755882182_n.jpg?stp=c160.0.960.960a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=WulUMoFCIQ0Q7kNvwETlyNE&_nc_oc=AdkNOT772koUinf1uqkXt-v4-4d5j8CTnEzInDVB0CgQ9B1-K4cZys1j1JoGhucm0JU&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfvrXo06wAB5Ds8eG86dbCUePwwh1tcedyQ1BYkn2I7h7Q&oe=6999691C
3694269144037795,Location,Local Commercial,123 456 TND Local commercial à louer Ettadhamen Mnihla,123 456 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/605495847_122159784764927604_8159247002847266043_n.jpg?stp=c120.0.720.720a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=LbdRFEOImfsQ7kNvwEUqRHb&_nc_oc=Adn_RhATivWV3Qnttp7zqK1oEOc4qx0HDOMw0aVg5QVIIo87fg9Q1aXoAVm_LGRqNkg&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Aft1AwYjUGnTW7nEoRjmguuuOZFiiSvq9SZ63MNyQhNnbA&oe=6999428E
1153074716258000,Location,Maison/Villa,"3 800 TND Location d’une villa avec jardin au RDC Carthage, Tunis, Tunisia",3 800 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/571157732_3222315404611712_3066884412521489799_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=TOLQLeDOtjIQ7kNvwGdD0cX&_nc_oc=Adn8duO-2cZM36XErUu-9u1ovi92Cr6skofDZEofml0aRDOxPJqKQVAFBWxpDesupHg&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfvcNhSvDOm1GYtXMABgTGjc82vJR4pfxLF1Tb4ce2zn_Q&oe=69995A03
1496642255799831,Location,Autre,350 TND محل تجاري El Mourouj,350 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/632797821_4377067809280328_1188608646355380698_n.jpg?stp=c0.21.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=b3oVE0KsYUAQ7kNvwH4FxS9&_nc_oc=AdlMLA_6yf02nrqxyzpXJeUcNO2sU3Q3ubtLD7fpVRPhygN0dPA2yzGcqMDzY4NJsKc&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Afsx6MISLnx4TyNStxoWYKm1BHzl51rlUT_2u15qoXji6A&oe=69993590
1595988878193850,Location,Autre,450 TND للكراء زوز بيوت وبيت بانو وتولات وكوجينة ومنشر غاز دوفيل على ألطاق ألثالث بلوردية ألرابعة قريب مترو Tunis,450 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/634004957_889537473880951_8353436138627399797_n.jpg?stp=c0.132.1200.1200a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=48YyOSqqmgYQ7kNvwF_ulDd&_nc_oc=AdlKZ7qHhZ-R4yccwaDuAGCqDDj5eX3h3jpbEjlJtnCR0AyqOzpLHkfYmBe8S0z9Qtc&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfusrEON6vd94HaY-swHuMb46Gm-QP6gaSGTzCmudfsBdg&oe=699935E3
1207276467926577,Location,Maison/Villa,900 TND Maison à louer Hammamet,900 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/594074815_1295088642636295_675315073006231852_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=wJakuZqHvo4Q7kNvwHKHraF&_nc_oc=Adn8LLIiO3V8blXFPMo9FcqiM-wdARZ0PIir0g4S2chmi1VzyoHFPr2lpNuEY46ussU&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfuPrJwuP56rkCXlI4Uuj8jdMqqsL9CnzwJ3BVGAgz5hDA&oe=699951F9
2680675695618775,Location,Appartement S+1,1 350 TND S+1 indépendant Meublé à louer – À Chotrana 1 Soukra 🏢✨ Le Kram,1 350 TND,TND,Chotrana,Tunisie,"Chotrana, Tunisie",https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/591294150_805668995629889_1234669505930935244_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=92e707&_nc_ohc=qlCzc3e-l_4Q7kNvwHq3Pgu&_nc_oc=AdlWdHCewbHOpuU1VCFMHrYHlNwbApDQfrxHdrrr-3WgDxi3yrJ3CaADSNyxbEIHfo0&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Aftky8HmayELUkiKZFBKFQ68e2ltphlGoIt_5noQbXykkQ&oe=6999412F
1929433547651297,Location,Autre,Gratuit a louer Hammamet,,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/629707167_25848232144871452_5273804052164000499_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=92e707&_nc_ohc=O5n6l4rPgY8Q7kNvwHMIHTX&_nc_oc=Adnq5h9KOlzz03MHUNslwwJSHhtQHpEiZexK_ybBPs9hTTLuUJ42SZ5sMT4G7NSq0Eg&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_AfucI_ULWvmO-vurGRsp06MT_eBsltkZFF0Z_S_p2-yrJg&oe=69994891
1100113752208030,Location,Autre,450 TND حانوت للكراء La Manouba,450 TND,TND,Manouba,Manouba,Manouba,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/631815769_1435939021508834_6673573675166495744_n.jpg?stp=c128.0.765.765a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=j0p6GTOcptcQ7kNvwGjV8P0&_nc_oc=Adk6RPAwzfqCdTjdw7k1Dcv6xVRrsCrWJwVLQcx-4hnwUEnAlEU9krHHmr1bZ99cyOc&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_AfvTjbPCAL5SdBFdYAMMfgIZc-rNXPMtbCL-QsTs5o8_3Q&oe=69994C45
1176170267993883,Location,Appartement S+1,1 200 TND S+1 meublé à louer à La Marsa La Marsa,1 200 TND,TND,La,Tunisie,"La, Tunisie",https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/589925890_1159608579679786_8309919572341986103_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=92e707&_nc_ohc=iiyOsCiwzd4Q7kNvwEEI2KH&_nc_oc=Adk7f-v_8UeiI0LO4XU0WFkphETpuGYmRZltiai1tW2Gx6kA7LfeGSqN7lVC5SKiqPI&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_Afs2WgL2JikzwI_sNHA4jXjilpzTzBeLQkKiZMZe9M7bpg&oe=699946C9
1779008859444375,Location,Appartement S+1,900 TND A louer un appartement S+1 Ariana,900 TND,TND,Ariana,Ariana,Ariana,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/625542072_1963418784558193_2797113554415682388_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=92e707&_nc_ohc=vmcrmTep33cQ7kNvwFQcxWY&_nc_oc=Adl6WVEU441ePa644WWHwZqNxlQJpbDxdywO54bJnjSqpMIHExapsIUHyMviOZs0INs&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_AfsIHo9BB67Y31lMkoFRM9eo981fp4tSeFR7_JAKnBQPWg&oe=69994ED0
1967616744102957,Location,Appartement S+1,600 TND Un appartement s1 disponible meublé avec wifi a ariana soghra Ariana,600 TND,TND,Ariana,Ariana,Ariana,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/634405837_2217652608772616_8088160731310159651_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=92e707&_nc_ohc=_kxPcrAF__MQ7kNvwFjMN8h&_nc_oc=AdnXxMkJLt_Pofai5pBlJiTdxWq0qCrGIQTJWsyUL0Z2xIklI2nEWJYHQ4u327IVkSc&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_AfuKGRrQydpsM6qNTee7IVOchzRgVXd_UuCbkxmRXTnD3g&oe=6999376A
1366810407642174,Location,Maison/Villa,"Gratuit 🏠 Villa à louer 🏠 Bir-Bou-Regba, Nabul, Tunisia",,TND,Nabul,Tunis,"Nabul, Tunis",https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/588755863_2075319389883063_2551592159422197876_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=92e707&_nc_ohc=cmawEG_IXjIQ7kNvwE5wIos&_nc_oc=AdlYg5Msu_HCPGGitSpq53HtUik6HO8IRG3jNMZVCtOAarf1OkNHm4XkAA5pi-BNtaA&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_AfsWU4NzBdTTV5tCPUBt3DcfbCGO9JYaz_6qFhUAUhNEgw&oe=69996CA4
1419357396311347,Location,Studio,800 TND Location Studio Tunis,800 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/633441459_26400518762889291_6658882054844371076_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=92e707&_nc_ohc=zbpg-6ct3dgQ7kNvwFR2auK&_nc_oc=Admzc-mQKj2Ww2Dt3VJ2m8Tcfj9BLpU_m1hSS-OPjXk3ehmAJy7lcKGZ-DlElaewZyM&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_AfviKvb_InhpkxIWeE9oiDPXL1636LeLPeCB60O8yCi0Og&oe=69995A75
835068632852052,Location,Appartement S+2,1 300 TND S+2 a louer a Carthage salambo Le Kram,1 300 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/619827631_3381160385373060_6417159987708988667_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=92e707&_nc_ohc=mmRsVI1hvHoQ7kNvwGWby_G&_nc_oc=AdnbIKL76q8NFnTqH71RprXavUp4VDNah082wRlBVJKeU2o0sj6HiDjbYIk8_nikaMA&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_Afup-0TRh7OC052Dsbh_l_UUMTXZpC2Lk7NpGJcTZPc7Ow&oe=699963E8
25564681573228035,Location,Appartement S+1,850 TND A louer s+1 borj louzir ariana Tunis,850 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/623251865_1258758606128473_4238952138712801515_n.jpg?stp=c89.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=92e707&_nc_ohc=nNTta73gEtgQ7kNvwHiXHPp&_nc_oc=AdkmZNQMg_jXqx57hLBg5P96AdgSmwIEUePJOhcVc7NqIK5QbIOxRmncpS8nygZkSSc&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=j4RNOFNdwig5cA0L8FntPg&oh=00_AfuzRwJEgbdVIyqbTYkJxbA6db0VNAsMKoAWdKmGDSFcnw&oe=69993DBD
