idx;image_url;standing;standing_confiance;etat;etat_confiance;a_valider
56;https://www.mubawab-media.com/ad/8/240/718F/h/WhatsApp%20Image%202025-10-24%20%C3%A0%2014.27.22_a334161a_81290040.avif;3;0.343;1;0.517;1
57;https://www.mubawab-media.com/ad/8/296/253F/h/5_81891396.avif;3;0.346;1;0.519;1
58;https://www.bnb.tn/wp-content/uploads/2024/01/IMG-20231201-WA0009-300x300.jpg;3;0.34;1;0.507;1
59;https://www.bnb.tn/wp-content/uploads/2023/07/fdec0d91-1586-41f7-a25c-431059b74393-300x300.png;2;0.336;1;0.515;1
60;https://www.bnb.tn/wp-content/uploads/2024/09/Capture-decran-2024-09-19-113803-300x300.jpg;3;0.337;1;0.516;1
61;https://www.mubawab-media.com/ad/8/290/308F/h/c382c52f-1dc5-4334-86fd-9fa360751d0b_WhatsApp%20Image%202026-01-22%20at%202.49.46%20PM_81825540.avif;2;0.342;1;0.515;1
62;https://www.mubawab-media.com/ad/8/038/773F/h/DFD6F04A-1DE2-4464-8208-D50673D8849B_1_105_c_79246222.avif;3;0.336;1;0.508;1
63;https://www.mubawab-media.com/ad/7/706/050F/h/20250122_170521_80104512.avif;2;0.335;1;0.514;1
66;https://www.mubawab-media.com/ad/8/292/595F/h/WhatsApp%20Image%202026-01-27%20at%2009.37.42_81849279.avif;3;0.343;1;0.523;1
67;https://www.bnb.tn/wp-content/uploads/2025/04/1-38-300x300.jpeg;2;0.342;1;0.515;1
68;https://www.mubawab-media.com/ad/7/660/108F/h/9_43023984.avif;3;0.341;1;0.521;1
69;https://www.mubawab-media.com/ad/8/240/834F/h/bebd4bc5-9866-45d4-ba3b-fa9f5fcbd4c9_81291295.avif;3;0.338;1;0.516;1
70;https://www.bnb.tn/wp-content/uploads/2025/09/1-28-300x300.jpg;3;0.338;1;0.513;1
71;https://www.mubawab-media.com/ad/8/241/931F/h/WhatsApp%20Image%202023-11-27%20at%2016.48.40%20%281%29_81301595.avif;2;0.334;1;0.514;1
72;https://www.bnb.tn/wp-content/uploads/2025/06/WhatsApp-Image-2025-06-06-at-11.57.29-PM-300x300.jpeg;3;0.346;1;0.505;1
73;https://www.mubawab-media.com/ad/8/241/148F/h/thumb_1190616_property_large_81294014.avif;2;0.335;1;0.51;1
74;https://www.mubawab-media.com/ad/8/263/736F/h/1_81536567.avif;3;0.338;1;0.513;1
75;https://www.mubawab-media.com/ad/8/208/543F/h/RENDER%20023%20rectif_19136918_80948677.avif;3;0.337;1;0.508;1
76;https://www.mubawab-media.com/ad/8/163/863F/h/thumb_1112633_property_large_80498683.avif;3;0.338;1;0.513;1
77;https://www.mubawab-media.com/ad/8/304/928F/h/maison%20gammarth%20asma_81982280.avif;3;0.341;1;0.511;1
78;https://www.mubawab-media.com/ad/8/288/458F/h/83b0ed6a-dcbb-4e51-a582-72be19466c37%20%281%29_81806159.avif;2;0.334;1;0.517;1
79;https://www.bnb.tn/wp-content/uploads/2023/09/1111-300x300.jpg;3;0.344;1;0.516;1
80;https://www.mubawab-media.com/ad/8/184/535F/h/IMG_7727_80707952.avif;3;0.334;1;0.517;1
81;https://www.mubawab-media.com/ad/8/171/122F/h/thumb_1118537_property_xlarge_80571093.avif;3;0.338;1;0.517;1
82;https://www.mubawab-media.com/ad/8/283/122F/h/IMG_5137_81750438.avif;3;0.341;1;0.521;1
83;https://www.mubawab-media.com/ad/8/263/381F/h/thumb_1218010_property_large_81532403.avif;3;0.336;1;0.513;1
84;https://www.mubawab-media.com/ad/8/278/494F/h/1_81700108.avif;3;0.339;1;0.518;1
85;https://www.bnb.tn/wp-content/uploads/2022/12/WhatsApp-Image-2022-12-01-at-12.37.22-300x300.jpeg;2;0.342;1;0.52;1
86;https://www.mubawab-media.com/ad/7/918/050F/h/thumb_822873_property_xlarge_78361453.avif;2;0.336;1;0.513;1
87;https://www.mubawab-media.com/ad/8/140/900F/h/c62824b5-2cad-4fef-8213-70acf13929b9_80258204.avif;2;0.336;0;0.516;1
88;https://www.mubawab-media.com/ad/8/290/650F/h/1000025270_81829234.avif;3;0.341;1;0.517;1
89;https://www.bnb.tn/wp-content/uploads/2025/07/1-24-300x300.jpeg;1;0.343;0;0.508;1
90;https://www.mubawab-media.com/ad/8/117/169F/h/IMG_4862_80016757.avif;2;0.338;1;0.517;1
91;https://www.mubawab-media.com/ad/8/297/602F/h/ph1_81905494.avif;2;0.339;1;0.509;1
92;https://www.mubawab-media.com/ad/8/130/558F/h/1000160295_80153170.avif;3;0.336;1;0.512;1
93;https://www.mubawab-media.com/ad/8/214/422F/h/IMG-20250830-WA0003_81035810.avif;2;0.335;1;0.519;1
94;https://www.mubawab-media.com/ad/8/106/845F/h/WhatsApp%20Image%202025-03-06%20at%2013.59.41%20%281%29_79912924.avif;2;0.334;1;0.515;1
95;https://www.mubawab-media.com/ad/8/293/613F/h/20260128_161533_81859955.avif;2;0.339;1;0.519;1
96;https://www.mubawab-media.com/ad/8/086/718F/h/Photo%2003-02-2025%2022%2049%2017%20%284%29_79719440.avif;1;0.335;0;0.508;1
97;https://www.bnb.tn/wp-content/uploads/2021/06/IMG_1172-1-300x300.jpg;1;0.337;0;0.504;1
98;https://www.bnb.tn/wp-content/uploads/2021/08/IMG_5654-300x300.jpg;3;0.334;1;0.506;1
99;https://www.mubawab-media.com/ad/7/985/595F/h/AmlDSC00282_78712779.avif;2;0.334;1;0.506;1
100;https://www.mubawab-media.com/ad/8/122/967F/h/thumb_1062532_property_xlarge_80076262.avif;2;0.343;1;0.517;1
101;https://www.mubawab-media.com/ad/8/301/389F/h/IMG_7042_81946704.avif;2;0.338;1;0.518;1
102;https://www.mubawab-media.com/ad/8/083/844F/h/thumb_1001068_property_xlarge_79690322.avif;3;0.337;1;0.51;1
103;https://www.mubawab-media.com/ad/8/288/608F/h/thumb_1262514_property_large_81807624.avif;3;0.338;1;0.512;1
104;https://www.bnb.tn/wp-content/uploads/2023/10/20210123_104012-300x300.jpg;2;0.338;1;0.519;1
105;https://www.bnb.tn/wp-content/uploads/2023/08/WhatsApp-Image-2023-04-20-at-14.27.41-1-300x300.jpeg;3;0.338;1;0.509;1
106;https://www.mubawab-media.com/ad/8/248/551F/h/1_81370081.avif;3;0.336;1;0.515;1
107;https://www.mubawab-media.com/ad/8/182/813F/h/20230821_174427_80690656.avif;1;0.336;0;0.505;1
108;https://www.mubawab-media.com/ad/8/298/759F/h/gallery_81920169.avif;2;0.336;1;0.509;1
110;https://www.bnb.tn/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-24-at-10.51.46-300x300.jpg;2;0.334;1;0.512;1
111;https://www.mubawab-media.com/ad/8/286/493F/h/51ce3bb1-fe11-4ac5-8ae8-e8a97abd72df_81785297.avif;3;0.341;1;0.518;1
112;https://www.bnb.tn/wp-content/uploads/2023/06/1-3-300x300.jpeg;1;0.334;0;0.503;1
113;https://www.mubawab-media.com/ad/8/268/198F/h/photo_00_81589743.avif;3;0.34;1;0.52;1
115;https://www.bnb.tn/wp-content/uploads/2025/05/1-110-300x300.jpeg;3;0.344;1;0.51;1
116;https://www.mubawab-media.com/ad/8/196/402F/h/1_80827459.avif;3;0.338;1;0.517;1
117;https://www.mubawab-media.com/ad/8/221/510F/h/thumb_1168774_property_large_81085312.avif;3;0.343;1;0.517;1
118;https://www.mubawab-media.com/ad/8/039/396F/h/7_79252787.avif;3;0.336;1;0.509;1
119;https://www.mubawab-media.com/ad/8/187/334F/h/abd7ddae-07ff-4f6a-bed9-f6db090728da_80736924.avif;1;0.335;1;0.507;1
120;https://www.bnb.tn/wp-content/uploads/2023/07/WhatsApp-Image-2023-06-16-at-18.39.39-300x300.jpg;3;0.342;1;0.516;1
121;https://www.mubawab-media.com/ad/8/186/749F/h/1630766037507_81660733.avif;2;0.345;1;0.514;1
122;https://www.mubawab-media.com/ad/8/225/065F/h/9_81124711.avif;2;0.335;1;0.506;1
123;https://www.mubawab-media.com/ad/8/273/827F/h/e100cfb8-02ba-4522-8db1-3e602a236d22_81649378.avif;2;0.335;1;0.517;1
124;https://www.bnb.tn/wp-content/uploads/2023/11/1-6-300x300.jpeg;2;0.337;1;0.518;1
125;https://www.mubawab-media.com/ad/7/770/983F/h/thumb_650392_property_xlarge_55256068.avif;3;0.342;1;0.521;1
126;https://www.mubawab-media.com/ad/8/133/459F/h/thumb_1064544_property_xlarge_80183082.avif;3;0.345;1;0.522;1
127;https://www.mubawab-media.com/ad/8/201/043F/h/WhatsApp%20Image%202025-08-16%20at%2012.02.52_80871652.avif;3;0.337;1;0.513;1
129;https://www.mubawab-media.com/ad/8/296/942F/h/0_81898496.avif;3;0.343;1;0.507;1
130;https://www.mubawab-media.com/ad/8/039/610F/h/20230729_105505_80635141.avif;3;0.34;1;0.503;1
131;https://www.mubawab-media.com/ad/8/297/678F/h/IMG_5415_81910302.avif;2;0.34;0;0.502;1
132;https://www.mubawab-media.com/ad/8/222/036F/h/photo_0_81092707.avif;2;0.339;1;0.512;1
133;https://www.mubawab-media.com/ad/8/164/334F/h/thumb_1113165_property_large_80503655.avif;3;0.338;1;0.515;1
134;https://www.mubawab-media.com/ad/8/224/139F/h/1-5_81114921.avif;2;0.343;1;0.512;1
135;https://www.bnb.tn/wp-content/uploads/2023/04/thumb_579789_property_xlarge-300x300.jpeg;3;0.339;1;0.515;1
136;https://www.mubawab-media.com/ad/8/114/896F/h/thumb_1057643_property_xlarge_79993282.avif;3;0.337;1;0.515;1
137;https://www.mubawab-media.com/ad/8/244/357F/h/gallery_81326511.avif;1;0.341;0;0.507;1
138;https://www.bnb.tn/wp-content/uploads/2023/06/753473fe-e085-47f3-8bc4-3f2fec610c0d-2-300x300.png;3;0.336;1;0.511;1
139;https://www.mubawab-media.com/ad/8/192/101F/h/d5650cd1-6e88-4116-93cd-a0fcbbb43297_80783367.avif;2;0.341;1;0.517;1
140;https://www.mubawab-media.com/ad/7/826/697F/h/2114_66360985.avif;2;0.339;1;0.521;1
141;https://www.mubawab-media.com/ad/8/285/122F/h/WhatsApp%20Image%202026-01-12%20at%2017.31.02%20%281%29_81771242.avif;2;0.341;1;0.511;1
142;https://www.mubawab-media.com/ad/8/271/121F/h/IMG_6275_81620485.avif;2;0.336;1;0.52;1
143;https://www.mubawab-media.com/ad/8/118/728F/h/1_80034035.avif;2;0.339;1;0.512;1
144;https://www.bnb.tn/wp-content/uploads/2023/12/c1482586-cc1b-4856-ad63-991b11088e0f-300x300.jpg;3;0.337;1;0.517;1
145;https://www.mubawab-media.com/ad/8/239/137F/h/thumb_1188713_property_xlarge_81273644.avif;3;0.342;1;0.514;1
146;https://www.mubawab-media.com/ad/8/147/530F/h/thumb_1096626_property_large_80323339.avif;3;0.344;1;0.516;1
147;https://www.mubawab-media.com/ad/8/204/111F/h/527036195_751067844332520_2618536205604275426_n_80902378.avif;2;0.334;1;0.51;1
148;https://www.mubawab-media.com/ad/8/243/276F/h/NVWhatsApp%20Image%202022-12-20%20%C3%A0%2017.27.04_44037075_81314886.avif;3;0.338;1;0.513;1
149;https://www.bnb.tn/wp-content/uploads/2022/08/V22-021-07-1170x738-1-300x300.jpg;2;0.342;1;0.513;1
150;https://www.mubawab-media.com/ad/8/101/782F/h/1_GF_79863084.avif;2;0.338;1;0.502;1
151;https://www.mubawab-media.com/ad/8/230/866F/h/IMG_8929_81188816.avif;3;0.337;1;0.516;1
152;https://www.mubawab-media.com/ad/8/242/314F/h/thumb_927817_property_large_81305461.avif;2;0.336;1;0.512;1
153;https://www.mubawab-media.com/ad/8/303/494F/h/2_81968715.avif;2;0.339;1;0.522;1
154;https://www.mubawab-media.com/ad/8/127/742F/h/thumb_1152841_property_xlarge_80992842.avif;3;0.337;1;0.507;1
155;https://www.mubawab-media.com/ad/8/188/569F/h/thumb_1129470_property_xlarge_80748796.avif;1;0.336;0;0.504;1
156;https://www.mubawab-media.com/ad/8/264/581F/h/thumb_1151883_property_xlarge_81548326.avif;2;0.338;1;0.512;1
157;https://www.mubawab-media.com/ad/8/237/085F/h/photo_00_81252584.avif;3;0.337;1;0.51;1
158;https://www.mubawab-media.com/ad/8/288/589F/h/WhatsApp%20Image%202026-01-19%20at%2014.51.49_81807466.avif;3;0.338;1;0.515;1
159;https://www.bnb.tn/wp-content/uploads/2023/08/d749c297-7749-4465-811a-5862280f3ee9-300x300.jpg;2;0.342;1;0.511;1
160;https://www.mubawab-media.com/ad/8/025/887F/h/20240419_180244_81895603.avif;2;0.334;1;0.501;1
161;https://www.bnb.tn/wp-content/uploads/2023/10/WhatsApp-Image-2023-09-09-at-17.13.58-300x300.jpeg;2;0.339;1;0.507;1
162;https://www.mubawab-media.com/ad/8/247/401F/h/6_81359664.avif;3;0.339;1;0.516;1
163;https://www.mubawab-media.com/ad/8/296/936F/h/thumb_1270820_property_large_81898471.avif;3;0.339;1;0.518;1
164;https://www.mubawab-media.com/ad/8/230/423F/h/5_81183918.avif;2;0.336;1;0.515;1
165;https://www.mubawab-media.com/ad/8/182/725F/h/48c0d0b5-4725-4687-aa93-67722a900021_10_2024_f0f6c96a_80689896.avif;1;0.335;0;0.507;1
166;https://www.mubawab-media.com/ad/8/281/801F/h/Design-sans-titre-49-1170x785_81739496.avif;2;0.335;1;0.513;1
167;https://www.bnb.tn/wp-content/uploads/2022/02/s1s-300x300.jpg;3;0.345;1;0.524;1
168;https://www.mubawab-media.com/ad/8/254/193F/h/WhatsApp%20Image%202025-11-17%20at%206.45.29%20PM%20%282%29_81428435.avif;3;0.341;1;0.51;1
169;https://www.mubawab-media.com/ad/8/254/711F/h/1000122349_81865753.avif;2;0.338;1;0.522;1
170;https://www.mubawab-media.com/ad/8/298/216F/h/1_81916656.avif;2;0.336;1;0.513;1
171;https://www.mubawab-media.com/ad/7/692/919F/h/c33580b3-654e-46a3-9f7d-6c8821fc3314_GF_46632578.avif;1;0.335;1;0.506;1
172;https://www.mubawab-media.com/ad/8/292/800F/h/thumb_1266400_property_large_81851404.avif;3;0.34;1;0.516;1
173;https://www.mubawab-media.com/ad/8/148/262F/h/IMG-20250511-WA0006_80330457.avif;2;0.336;1;0.511;1
174;https://www.mubawab-media.com/ad/8/283/705F/h/gallery%20%283%29%20-%20Copie_81756715.avif;2;0.335;1;0.516;1
175;https://www.mubawab-media.com/ad/8/218/910F/h/WhatsApp%20Image%202025-09-18%20%C3%A0%2009.42.51_a1aa5d0c_81058193.avif;3;0.334;1;0.51;1
176;https://www.mubawab-media.com/ad/8/304/013F/h/1000104438_81973512.avif;3;0.337;1;0.512;1
177;https://www.bnb.tn/wp-content/uploads/2023/05/thumb_589592_property_xlarge-300x300.jpeg;3;0.341;1;0.513;1
178;https://www.bnb.tn/wp-content/uploads/2023/09/WhatsApp-Image-2023-09-25-at-09.40.41-2-300x300.jpg;2;0.34;1;0.507;1
179;https://www.mubawab-media.com/ad/8/283/677F/h/613444320_1171004355015037_4102831306418766422_n%20%281%29_81756549.avif;3;0.337;1;0.514;1
180;https://www.mubawab-media.com/ad/8/252/095F/h/photo_00_81406670.avif;3;0.338;1;0.516;1
181;https://www.mubawab-media.com/ad/8/190/259F/h/thumb_61691_property_xlarge_80765247.avif;3;0.338;1;0.513;1
182;https://www.mubawab-media.com/ad/8/266/834F/h/5_81575863.avif;1;0.336;1;0.508;1
183;https://www.mubawab-media.com/ad/8/238/702F/h/photo_0_81274396.avif;1;0.337;1;0.509;1
184;https://www.mubawab-media.com/ad/8/300/623F/h/626524891_1195391262796645_2677649466458846987_n_81938849.avif;2;0.335;1;0.514;1
185;https://www.mubawab-media.com/ad/8/205/740F/h/1756295718sanstitre101_80918442.avif;2;0.335;1;0.514;1
186;https://www.bnb.tn/wp-content/uploads/2025/11/Are-you-searching-for-your-forever-home-300x300.jpg;3;0.341;1;0.521;1
187;https://www.mubawab-media.com/ad/7/974/122F/h/thumb_878788_property_large_78602399.avif;2;0.334;1;0.51;1
188;https://www.mubawab-media.com/ad/8/287/603F/h/thumb_1241067_property_large_81797096.avif;2;0.342;1;0.513;1
189;https://www.mubawab-media.com/ad/8/027/568F/h/2_79134459.avif;2;0.338;1;0.517;1
190;https://www.mubawab-media.com/ad/8/220/001F/h/1_81393642.avif;3;0.342;1;0.513;1
191;https://www.mubawab-media.com/ad/8/226/792F/h/MGHfPJhxDajhea1B-thumb_81141649.avif;2;0.335;1;0.507;1
192;https://www.bnb.tn/wp-content/uploads/2022/01/1-104-300x300.jpg;3;0.336;1;0.5;1
193;https://www.mubawab-media.com/ad/8/129/834F/h/575181018_1848867652432964_2340608342624646237_n_81484419.avif;3;0.337;1;0.517;1
194;https://www.bnb.tn/wp-content/uploads/2023/05/thumb_600801_property_xlarge-300x300.jpeg;2;0.334;0;0.51;1
195;https://www.mubawab-media.com/ad/7/946/830F/h/Slide3_81792163.avif;2;0.338;1;0.517;1
196;https://www.bnb.tn/wp-content/uploads/2025/07/WhatsApp-Image-2025-07-01-at-6.40.05-PM-300x300.jpeg;2;0.34;0;0.51;1
197;https://www.mubawab-media.com/ad/8/234/248F/h/1_81223950.avif;2;0.336;1;0.514;1
198;https://www.bnb.tn/wp-content/uploads/2023/01/WhatsApp-Image-2022-12-18-at-21.59.33-300x300.jpeg;3;0.344;1;0.513;1
199;https://www.mubawab-media.com/ad/8/227/690F/h/7be482c5-4b0c-45ac-bd12-a337c22f2315_1_81152418.avif;3;0.349;1;0.52;1
200;https://www.mubawab-media.com/ad/8/282/960F/h/WhatsApp%20Image%202026-01-08%20at%209.41.49%20AM_81748652.avif;3;0.339;1;0.516;1
201;https://www.mubawab-media.com/ad/8/159/051F/h/500724854_2554728068209316_6451277267613662896_n_80449625.avif;2;0.334;1;0.511;1
202;https://www.bnb.tn/wp-content/uploads/2025/05/IMG-20250426-WA0021-300x300.jpg;1;0.335;1;0.502;1
203;https://www.bnb.tn/wp-content/uploads/2025/11/thumb_1198530_property_xlarge-300x300.jpeg;2;0.346;1;0.516;1
204;https://www.bnb.tn/wp-content/uploads/2025/09/1-18-300x300.jpeg;2;0.341;1;0.51;1
205;https://www.bnb.tn/wp-content/uploads/2025/04/1-34-300x300.jpeg;3;0.342;1;0.508;1
206;https://www.mubawab-media.com/ad/8/195/255F/h/IMG_5417_80816529.avif;3;0.335;1;0.514;1
207;https://www.mubawab-media.com/ad/7/890/954F/h/Picture-4757872-1-watermark_81179520.avif;2;0.336;1;0.513;1
208;https://www.mubawab-media.com/ad/8/167/312F/h/IMG-20250623-WA0003_80533269.avif;1;0.334;0;0.503;1
209;https://www.bnb.tn/wp-content/uploads/2025/10/IMG-20251008-WA0008-300x300.jpg;2;0.339;1;0.514;1
210;https://www.mubawab-media.com/ad/8/250/955F/h/thumb_1204602_property_large_81395157.avif;3;0.337;1;0.507;1
211;https://www.bnb.tn/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-21-a-09.53.32_9aba8848-1-300x300.jpg;3;0.339;1;0.512;1
212;https://www.mubawab-media.com/ad/8/259/499F/h/photo_00_81482497.avif;3;0.341;1;0.515;1
213;https://www.mubawab-media.com/ad/8/255/445F/h/thumb_1210688_property_xlarge_81441335.avif;3;0.344;0;0.513;1
214;https://www.mubawab-media.com/ad/8/025/661F/h/thumb_937443_property_large_79115843.avif;3;0.34;1;0.514;1
215;https://www.mubawab-media.com/ad/8/201/190F/h/IMG_9434_80873068.avif;2;0.335;1;0.513;1
216;https://www.mubawab-media.com/ad/8/118/749F/h/exterieur_81309311.avif;3;0.341;1;0.512;1
217;https://www.bnb.tn/wp-content/uploads/2022/10/305189411_677399616726408_4929289715254915742_n-1-300x300.jpg;3;0.342;1;0.516;1
219;https://www.bnb.tn/wp-content/uploads/2024/04/7795f1d8-9e65-4eb1-b17c-6ff0cf5f978e-1-300x300.png;2;0.337;1;0.511;1
220;https://www.bnb.tn/wp-content/uploads/2023/05/347404180_1136614893963495_3246559789983507593_n-300x300.jpg;3;0.342;1;0.512;1
221;https://www.mubawab-media.com/ad/8/226/586F/h/Copie%20de%20Visuel%20Agences%20Sousse%20Corniche%20-%202025-09-30T125939.114_81139520.avif;3;0.335;1;0.511;1
222;https://www.mubawab-media.com/ad/8/144/038F/h/MPv4qroj355gNpbv-thumb_80288786.avif;1;0.337;0;0.504;1
223;https://www.bnb.tn/wp-content/uploads/2025/12/IMG_20251224_022007-300x300.jpg;3;0.342;1;0.51;1
224;https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif;3;0.337;1;0.51;1
225;https://www.mubawab-media.com/ad/8/286/543F/h/thumb_1239424_property_large_81792272.avif;3;0.343;1;0.52;1
226;https://www.bnb.tn/wp-content/uploads/2025/10/IMG_20231015_112318-300x300.jpg;2;0.334;1;0.512;1
229;https://www.mubawab-media.com/ad/8/287/686F/h/WhatsApp%20Image%202026-01-16%20at%2011.30.37%20%282%29_81797917.avif;1;0.335;0;0.505;1
230;https://www.mubawab-media.com/ad/8/243/229F/h/IMG_20251025_123827_81314429.avif;1;0.337;0;0.501;1
231;https://www.mubawab-media.com/ad/8/267/992F/h/thumb_1221913_property_large_81587606.avif;3;0.341;0;0.514;1
232;https://www.mubawab-media.com/ad/8/164/019F/h/Copy%20of%20O16%20project%2002%281%29_80500615.avif;3;0.334;1;0.509;1
233;https://www.bnb.tn/wp-content/uploads/2024/09/WhatsApp-Image-2024-08-16-at-11.48.51-AM-300x300.jpg;3;0.341;1;0.512;1
234;https://www.mubawab-media.com/ad/7/942/761F/h/IMG_20250922_145342_81108150.avif;3;0.34;1;0.514;1
235;https://www.mubawab-media.com/ad/8/302/984F/h/af6bbc09-0857-45a0-b6ee-2057128187b4_GF_81963189.avif;1;0.337;0;0.506;1
236;https://www.mubawab-media.com/ad/8/298/548F/h/thumb_1272238_property_large_81918043.avif;1;0.346;0;0.516;1
