id;source;type_texte;numero;date_publication;date_jort;numero_jort;ministere;domaine_juridique;risque_conformite;obligations_legales;penalites_potentielles;textes_references;titre;type_operation;contenu_resume;acteurs;mots_cles;zone_geographique;superficie_m2;superficie_texte;titre_foncier;tpd;beneficiaire;destination;prix_cession_TND;double_marche_dinars_devises;investissement_etranger;logement_social;zone_industrielle;commission_pct_min;commission_pct_max;montant_TND_min;montant_TND_max;unite_tarif;negociable;gouvernorat_stats_logements_milliers;gouvernorat_pct_parc_national;gouvernorat_augmentation_nette_2014_2024_milliers;gouvernorat_taux_croissance_10ans_pct;gouvernorat_pression_immobiliere;taux_logements_occupes_pct;taux_branchement_electricite_pct;taux_branchement_eau_pct
STAT_GOV_ZAGHOUAN;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Zaghouan;Contexte marché;Gouvernorat de Zaghouan : 63.5 mille logements en 2024 (1.5% du parc national). Augmentation nette 2014-2024 : +15.1 mille unités (+31.2%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, zaghouan, recensement 2024, parc logements;Zaghouan;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;63.5;1.5;15.1;31.2;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_BIZERTE;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Bizerte;Contexte marché;Gouvernorat de Bizerte : 222.8 mille logements en 2024 (5.2% du parc national). Augmentation nette 2014-2024 : +49.3 mille unités (+28.4%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, bizerte, recensement 2024, parc logements;Bizerte;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;222.8;5.2;49.3;28.4;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_BÉJA;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Béja;Contexte marché;Gouvernorat de Béja : 104.1 mille logements en 2024 (2.4% du parc national). Augmentation nette 2014-2024 : +18.9 mille unités (+22.2%). Pression immobilière : FAIBLE.;INS | Observateurs marché;statistiques, logements, béja, recensement 2024, parc logements;Béja;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;104.1;2.4;18.9;22.2;FAIBLE;80.7;97.7;87.3
STAT_GOV_JENDOUBA;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Jendouba;Contexte marché;Gouvernorat de Jendouba : 151.9 mille logements en 2024 (3.6% du parc national). Augmentation nette 2014-2024 : +29.4 mille unités (+24.0%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, jendouba, recensement 2024, parc logements;Jendouba;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;151.9;3.6;29.4;24.0;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_LE_KEF;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Le Kef;Contexte marché;Gouvernorat de Le Kef : 85.6 mille logements en 2024 (2.0% du parc national). Augmentation nette 2014-2024 : +11.9 mille unités (+16.1%). Pression immobilière : FAIBLE.;INS | Observateurs marché;statistiques, logements, le kef, recensement 2024, parc logements;Le Kef;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;85.6;2.0;11.9;16.1;FAIBLE;80.7;97.7;87.3
STAT_GOV_SILIANA;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Siliana;Contexte marché;Gouvernorat de Siliana : 73.8 mille logements en 2024 (1.7% du parc national). Augmentation nette 2014-2024 : +13.3 mille unités (+22.0%). Pression immobilière : FAIBLE.;INS | Observateurs marché;statistiques, logements, siliana, recensement 2024, parc logements;Siliana;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;73.8;1.7;13.3;22.0;FAIBLE;80.7;97.7;87.3
STAT_GOV_SOUSSE;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Sousse;Contexte marché;Gouvernorat de Sousse : 298.0 mille logements en 2024 (7.0% du parc national). Augmentation nette 2014-2024 : +78.6 mille unités (+35.8%). Pression immobilière : FORTE.;INS | Observateurs marché;statistiques, logements, sousse, recensement 2024, parc logements;Sousse;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;298.0;7.0;78.6;35.8;FORTE;80.7;97.7;87.3
STAT_GOV_MONASTIR;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Monastir;Contexte marché;Gouvernorat de Monastir : 221.1 mille logements en 2024 (5.2% du parc national). Augmentation nette 2014-2024 : +56.4 mille unités (+34.2%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, monastir, recensement 2024, parc logements;Monastir;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;221.1;5.2;56.4;34.2;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_MAHDIA;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Mahdia;Contexte marché;Gouvernorat de Mahdia : 166.6 mille logements en 2024 (3.9% du parc national). Augmentation nette 2014-2024 : +41.6 mille unités (+33.3%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, mahdia, recensement 2024, parc logements;Mahdia;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;166.6;3.9;41.6;33.3;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_SFAX;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Sfax;Contexte marché;Gouvernorat de Sfax : 371.8 mille logements en 2024 (8.7% du parc national). Augmentation nette 2014-2024 : +80.9 mille unités (+27.8%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, sfax, recensement 2024, parc logements;Sfax;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;371.8;8.7;80.9;27.8;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_KAIROUAN;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Kairouan;Contexte marché;Gouvernorat de Kairouan : 198.2 mille logements en 2024 (4.7% du parc national). Augmentation nette 2014-2024 : +43.6 mille unités (+28.2%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, kairouan, recensement 2024, parc logements;Kairouan;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;198.2;4.7;43.6;28.2;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_KASSERINE;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Kasserine;Contexte marché;Gouvernorat de Kasserine : 145.9 mille logements en 2024 (3.4% du parc national). Augmentation nette 2014-2024 : +39.9 mille unités (+37.6%). Pression immobilière : FORTE.;INS | Observateurs marché;statistiques, logements, kasserine, recensement 2024, parc logements;Kasserine;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;145.9;3.4;39.9;37.6;FORTE;80.7;97.7;87.3
STAT_GOV_SIDI_BOUZI;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Sidi Bouzid;Contexte marché;Gouvernorat de Sidi Bouzid : 151.4 mille logements en 2024 (3.6% du parc national). Augmentation nette 2014-2024 : +41.1 mille unités (+37.3%). Pression immobilière : FORTE.;INS | Observateurs marché;statistiques, logements, sidi bouzid, recensement 2024, parc logements;Sidi Bouzid;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;151.4;3.6;41.1;37.3;FORTE;80.7;97.7;87.3
STAT_GOV_GABÈS;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Gabès;Contexte marché;Gouvernorat de Gabès : 145.6 mille logements en 2024 (3.4% du parc national). Augmentation nette 2014-2024 : +38.5 mille unités (+35.9%). Pression immobilière : FORTE.;INS | Observateurs marché;statistiques, logements, gabès, recensement 2024, parc logements;Gabès;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;145.6;3.4;38.5;35.9;FORTE;80.7;97.7;87.3
STAT_GOV_MÉDENINE;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Médenine;Contexte marché;Gouvernorat de Médenine : 223.2 mille logements en 2024 (5.2% du parc national). Augmentation nette 2014-2024 : +58.3 mille unités (+35.4%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, médenine, recensement 2024, parc logements;Médenine;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;223.2;5.2;58.3;35.4;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_TATAOUINE;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Tataouine;Contexte marché;Gouvernorat de Tataouine : 66.2 mille logements en 2024 (1.6% du parc national). Augmentation nette 2014-2024 : +20.7 mille unités (+45.5%). Pression immobilière : FORTE.;INS | Observateurs marché;statistiques, logements, tataouine, recensement 2024, parc logements;Tataouine;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;66.2;1.6;20.7;45.5;FORTE;80.7;97.7;87.3
STAT_GOV_GAFSA;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Gafsa;Contexte marché;Gouvernorat de Gafsa : 126.0 mille logements en 2024 (3.0% du parc national). Augmentation nette 2014-2024 : +36.1 mille unités (+40.2%). Pression immobilière : FORTE.;INS | Observateurs marché;statistiques, logements, gafsa, recensement 2024, parc logements;Gafsa;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;126.0;3.0;36.1;40.2;FORTE;80.7;97.7;87.3
STAT_GOV_TOZEUR;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Tozeur;Contexte marché;Gouvernorat de Tozeur : 37.1 mille logements en 2024 (0.9% du parc national). Augmentation nette 2014-2024 : +7.5 mille unités (+25.3%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, tozeur, recensement 2024, parc logements;Tozeur;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;37.1;0.9;7.5;25.3;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_KÉBILI;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Kébili;Contexte marché;Gouvernorat de Kébili : 54.3 mille logements en 2024 (1.3% du parc national). Augmentation nette 2014-2024 : +13.9 mille unités (+34.4%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, kébili, recensement 2024, parc logements;Kébili;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;54.3;1.3;13.9;34.4;MODÉRÉE;80.7;97.7;87.3
STAT_NAT_001;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – National;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Parc logements national 2024 – Vue d'ensemble;Contexte marché;Tunisie 2024 : 4 265 636 logements dont 80.7% occupés et 19.3% vacants. Croissance x4 depuis 1975 (1 021 800 → 4 265 600). Augmentation annuelle nette 2014-2024 : 97.6 mille unités/an. Milieu urbain : 72.6% (3 095.9 mille), rural : 27.4% (1 169.8 mille).;INS | Observateurs marché;statistiques, logements, national, recensement 2024;National;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;4265.6;100.0;975.7;29.7;N/A;80.7;97.7;87.3
STAT_NAT_002;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – National;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Types de logements national 2024;Contexte marché;Types logements 2024 : Jumelé/Étage jumelé 49.1% (dominant), Villa/Duplex 26.1%, Houch/Dar Arbi 15.9%, Appartement 8.4%, Rudimentaire 0.5%. Logements 3 pièces : 46.6% (le plus fréquent). Superficie 100-199m² en hausse, <50m² en forte baisse vs 2014.;INS | Observateurs marché;statistiques, logements, national, recensement 2024;National;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;4265.6;100.0;975.7;29.7;N/A;80.7;97.7;87.3
STAT_NAT_003;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – National;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Réseaux et équipements logements 2024;Contexte marché;Taux raccordement 2024 : Électricité STEG 97.7%, Eau SONEDE 87.3%, Assainissement ONAS 62.9%, Gaz naturel 27.3%, Solaire 3.0%. Équipements : Cuisine avec évier 92.3%, Toilette 82.5%, Salle de bain 36%, Douche équipée 41.3%. Nette amélioration qualitative depuis 2014.;INS | Observateurs marché;statistiques, logements, national, recensement 2024;National;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;4265.6;100.0;975.7;29.7;N/A;80.7;97.7;87.3
droits_reels_droit_0;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conformer aux lois relatives à l'intérêt général ou à l'intérêt des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"particuliers.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_1;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
époque; construire à la limite extrême de son terrain; sans se;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"préoccuper des ouvertures existantes chez le voisin.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_2;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_3;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chose ou du droit dont il est nanti avec la même diligence qu'il;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"met à conserver les choses qui lui appartiennent.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_4;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
principal et accessoires; au fur et à mesure des échéances; et de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prendre toutes mesures conservatoires que le débiteur ne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pourrait prendre lui-même;" faute de possession du titre.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_5;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_6;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
autoriser par l'autorité judiciaire du lieu à vendre le gage; après;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
en avoir fait vérifier l'état et estimer la valeur; par experts à ce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
commis; l'autorité judiciaire prescrira toutes autres mesures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"qu'elle croira nécessaires dans l'intérêt de toutes les parties.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_7;droits_reels;droit_obligation;;;;;;Logement Social / Location;FAIBLE;Respect FPLS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tenu de restituer le gage avec tous les accessoires et de faire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
raison des fruits qu'il a perçus; soit au débiteur; soit au tiers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bailleur du gage.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_droit_8;droits_reels;droit_obligation;;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
créancier :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) des dépenses nécessaires faites pour la conservation du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gage; ainsi que des contributions et charges publiques que le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
